Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
LW,1,0.07,0.07,0.13,0.05,0.6,1,1,2,1,2,0,4,0,-2,3.2,3.7,-0.5,0.0,0.0,0.1,,greeraj01,18-19
D,13,0.16,0.29,0.45,0.16,2.2,13,24,37,14,113,17,119,24,1,69.0,69.9,-0.8,2.6,4.2,6.8,,ekblaaa01,18-19
D,0,0.0,0.0,0.0,0.0,0.75,0,0,0,0,2,0,2,1,1,1.6,2.6,-1.0,-0.1,0.2,0.1,,clendad01,18-19
RW,0,0.0,0.0,0.0,0.0,1.5,0,0,0,0,0,0,1,0,-1,0.5,1.4,-0.8,-0.1,0.0,-0.1,,crackad01,18-19
LW,7,0.11,0.2,0.31,0.11,1.08,7,13,20,7,34,4,21,1,10,23.6,24.7,-1.1,0.8,1.0,1.7,,ernead01,18-19
C,5,0.09,0.13,0.21,0.08,0.98,5,7,12,5,24,7,25,0,-8,16.5,25.0,-8.5,0.0,0.5,0.5,,gaudead01,18-19
C,16,0.22,0.29,0.51,0.2,1.49,18,24,42,16,68,23,60,10,-5,41.0,42.8,-1.9,2.3,1.6,4.0,,henriad01,18-19
C,1,0.0,0.33,0.33,0.09,0.5,0,2,2,1,3,0,1,0,2,2.0,1.5,0.5,0.1,0.1,0.2,,johnsad01,18-19
D,6,0.04,0.21,0.24,0.08,1.43,3,17,20,6,54,1,107,26,-28,61.7,68.7,-7.0,0.2,1.7,1.8,,larssad01,18-19
LW,9,0.15,0.14,0.29,0.12,1.35,12,11,23,10,38,0,49,17,6,33.9,34.8,-0.9,0.3,1.4,1.8,,lowryad01,18-19
D,3,0.06,0.08,0.14,0.05,0.56,3,4,7,3,30,0,38,10,2,25.7,28.9,-3.2,0.1,1.8,1.9,,mcquaad01,18-19
D,7,0.06,0.21,0.27,0.09,1.41,5,16,21,7,58,0,54,18,22,52.9,49.2,3.7,0.9,5.1,5.9,,pelecad01,18-19
LW,11,0.15,0.2,0.35,0.14,1.46,12,16,28,11,40,6,46,2,-10,37.9,36.8,1.1,0.8,1.2,2.0,4.0,kempead01,18-19
C,2,0.23,0.15,0.38,0.16,0.85,3,2,5,2,5,1,4,0,0,4.0,4.2,-0.2,0.4,0.1,0.6,,quineal01,18-19
D,6,0.07,0.23,0.3,0.1,1.3,4,14,18,6,53,2,65,12,-2,41.8,46.9,-5.1,0.7,3.1,3.8,,martial01,18-19
C,35,0.43,0.74,1.17,0.43,2.51,35,61,96,36,144,55,115,23,-3,60.2,60.1,0.1,7.9,2.1,10.0,7.0,barkoal01,18-19
D,5,0.05,0.34,0.39,0.12,2.22,2,14,16,5,33,1,33,1,0,28.1,28.4,-0.3,1.0,1.8,2.7,,biegaal01,18-19
RW,16,0.3,0.22,0.52,0.22,1.68,22,16,38,16,73,31,49,6,-1,36.9,40.6,-3.7,2.6,1.4,4.0,2.0,chiasal01,18-19
RW,31,0.5,0.43,0.93,0.38,2.68,41,35,76,32,114,38,76,0,0,51.0,55.4,-4.4,7.6,1.2,8.8,1.0,debrial01,18-19
LW,1,0.11,0.0,0.11,0.06,1.78,1,0,1,1,3,0,6,1,-2,2.7,4.3,-1.6,-0.1,0.0,-0.1,,formeal01,18-19
C,17,0.26,0.31,0.57,0.23,2.21,19,22,41,16,56,27,48,0,-19,34.7,42.6,-7.9,3.1,1.0,4.1,3.0,galchal01,18-19
D,8,0.04,0.32,0.36,0.11,1.34,3,24,27,8,70,14,72,10,-7,55.7,55.8,0.0,1.2,3.9,5.1,,goligal01,18-19
C,13,0.18,0.22,0.4,0.16,1.8,15,18,33,13,56,9,68,4,-17,41.1,52.9,-11.8,1.0,1.2,2.3,3.0,iafalal01,18-19
C/LW,16,0.22,0.27,0.49,0.19,1.87,18,22,40,16,69,13,49,15,22,43.3,35.3,8.0,2.4,1.9,4.3,,killoal01,18-19
LW,37,0.63,0.47,1.1,0.46,4.17,52,38,90,39,138,47,85,0,7,54.9,63.3,-8.4,9.2,1.8,11.0,2.0,ovechal01,18-19
D,15,0.18,0.39,0.58,0.21,2.37,13,28,41,15,101,28,92,21,2,64.7,56.8,7.9,3.3,4.0,7.3,,pietral01,18-19
RW,20,0.27,0.43,0.7,0.27,2.43,20,32,52,20,80,20,47,0,13,53.4,43.6,9.8,4.0,1.9,5.9,1.0,tuchal01,18-19
D,12,0.18,0.43,0.61,0.22,2.29,10,24,34,12,74,24,61,14,3,36.3,38.0,-1.7,2.8,3.6,6.4,1.0,edleral01,18-19
C,16,0.19,0.35,0.54,0.2,1.49,15,27,42,16,61,21,49,1,-9,43.3,37.5,5.8,2.5,0.9,3.4,,kerfoal01,18-19
LW,2,0.17,0.17,0.33,0.14,1.33,2,2,4,2,6,2,7,0,-4,5.1,6.6,-1.5,0.2,0.0,0.2,,nylanal01,18-19
D,1,0.0,0.06,0.06,0.02,1.34,0,2,2,1,11,0,32,6,-15,17.1,24.0,-6.9,-0.5,0.1,-0.4,,petroal01,18-19
RW,27,0.41,0.61,1.03,0.39,2.99,29,43,72,28,105,34,50,1,22,61.8,47.1,14.7,6.2,2.8,9.1,3.0,radulal01,18-19
C,10,0.15,0.26,0.42,0.15,1.75,10,17,27,10,46,11,45,12,2,32.2,27.6,4.5,0.8,1.4,2.2,1.0,steenal01,18-19
C,7,0.03,0.31,0.33,0.1,0.85,2,23,25,7,51,11,48,6,-1,36.7,39.6,-2.9,-0.4,1.2,0.8,,wennbal01,18-19
LW,2,0.13,0.13,0.25,0.1,1.21,3,3,6,2,8,0,17,3,-6,11.1,13.1,-2.0,0.2,0.0,0.2,,fortial01,18-19
C,1,0.5,0.0,0.5,0.28,3.0,1,0,1,1,3,0,0,0,3,1.2,1.0,0.2,0.1,0.1,0.3,,texieal01,18-19
LW,1,0.05,0.1,0.15,0.05,0.9,1,2,3,1,8,4,6,1,-1,6.0,7.4,-1.4,-0.3,0.3,0.0,,bjorkan01,18-19
LW,22,0.34,0.28,0.62,0.26,2.49,28,23,51,22,86,24,42,0,20,55.9,49.8,6.1,4.1,2.4,6.5,,leean01,18-19
LW,10,0.16,0.17,0.33,0.13,1.32,12,13,25,10,36,1,32,0,2,31.5,33.7,-2.2,1.3,0.8,2.2,,burakan01,18-19
C,23,0.39,0.32,0.71,0.3,2.84,30,24,54,23,72,21,62,1,-9,43.1,50.7,-7.6,4.8,1.1,5.9,0.0,athanan01,18-19
D,0,0.0,0.0,0.0,0.0,0.67,0,0,0,0,1,0,3,0,-2,1.2,0.8,0.4,0.0,-0.1,-0.1,,engluan01,18-19
LW,17,0.27,0.32,0.59,0.23,1.78,20,23,43,17,64,10,41,0,14,42.4,37.7,4.7,3.6,1.4,4.9,,johnsan01,18-19
LW,1,0.04,0.13,0.17,0.06,0.88,1,3,4,1,6,0,14,3,-5,6.1,10.2,-4.1,0.0,0.0,-0.1,,martian01,18-19
RW,16,0.24,0.21,0.45,0.19,2.3,20,17,37,16,62,15,47,0,0,57.2,38.7,18.5,2.5,1.4,3.9,,svechan01,18-19
D,1,0.0,0.17,0.17,0.05,1.17,0,4,4,1,20,1,19,3,3,14.6,14.5,0.0,-0.1,1.1,1.0,,sekeran01,18-19
D,0,0.0,0.0,0.0,0.0,1.2,0,0,0,0,1,0,2,1,0,1.7,2.6,-1.0,-0.1,0.2,0.1,,sustran01,18-19
LW,1,0.09,0.09,0.18,0.07,1.0,1,1,2,1,3,0,2,1,2,3.1,3.1,0.1,0.1,0.2,0.2,,agozzan01,18-19
LW/C,6,0.08,0.14,0.22,0.08,1.36,6,11,17,6,25,1,33,10,1,32.1,36.8,-4.7,-0.4,1.4,1.0,,coglian01,18-19
C,10,0.16,0.2,0.36,0.14,1.19,11,14,25,10,39,0,32,13,20,29.6,26.8,2.8,1.3,1.6,2.9,,coppan01,18-19
LW,4,0.12,0.31,0.42,0.15,1.31,3,8,11,4,15,0,13,1,3,12.5,14.0,-1.5,0.4,0.5,1.0,,laddan01,18-19
D,2,0.0,0.19,0.19,0.05,0.87,0,9,9,2,33,1,47,10,-5,24.0,29.3,-5.3,0.0,1.2,1.1,,macdoan01,18-19
LW,6,0.18,0.11,0.3,0.13,1.48,8,5,13,6,22,0,11,0,11,20.8,12.5,8.2,0.8,0.8,1.6,1.0,mangian01,18-19
C,18,0.3,0.44,0.75,0.28,2.14,19,28,47,18,64,7,46,6,17,41.8,39.2,2.6,3.8,1.7,5.5,,shawan01,18-19
D,8,0.06,0.24,0.3,0.1,1.27,5,20,25,8,67,2,106,32,-9,53.7,63.2,-9.4,1.0,3.6,4.6,,greenan01,18-19
D,1,0.04,0.12,0.15,0.05,1.23,1,3,4,1,14,1,18,0,-5,12.3,18.8,-6.5,0.0,0.7,0.7,,welinan01,18-19
LW,13,0.22,0.12,0.35,0.15,1.93,18,10,28,13,51,8,42,0,1,47.5,43.0,4.6,1.3,1.5,2.8,1.0,beauvan01,18-19
D,1,0.0,0.08,0.08,0.02,0.83,0,3,3,1,12,0,20,1,-7,13.0,20.7,-7.7,-0.2,0.6,0.3,,bitetan01,18-19
C,16,0.23,0.24,0.48,0.19,1.5,19,20,39,16,66,4,56,19,25,45.7,35.2,10.5,2.4,2.0,4.4,1.0,cirelan01,18-19
LW,14,0.26,0.19,0.45,0.19,1.78,19,14,33,14,49,11,41,0,-2,33.8,41.6,-7.8,2.6,1.0,3.6,,duclaan01,18-19
