CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
348,439,44.2,-1.9,267,316,45.8,0.0,3.2,91.3,94.6,43.3,56.7,9:48,10,18,-5.2,76.0,52.6,abdelju01,19-20
31,50,38.3,-18.2,19,40,32.2,-22.4,9.1,96.2,105.2,60.0,40.0,8:42,1,2,-0.8,5.0,80.0,abergpo01,19-20
11,17,39.3,-14.7,9,12,42.9,-11.8,16.7,87.5,104.2,33.3,66.7,5:47,0,1,-0.3,4.0,75.0,abramvi01,19-20
790,894,46.9,-3.5,590,639,48.0,-2.5,10.1,90.6,100.7,38.6,61.4,13:08,32,21,-6.3,189.0,57.1,acciano01,19-20
127,104,55.0,8.0,92,77,54.4,7.4,11.7,93.5,105.2,53.4,46.6,6:49,5,4,-0.6,,,agozzan01,19-20
1093,830,56.8,3.8,827,664,55.5,2.8,10.3,88.1,98.4,58.5,41.5,14:40,71,58,10.0,333.0,61.9,ahose01,19-20
41,31,56.9,0.4,26,23,53.1,-1.8,5.6,88.2,93.8,55.6,44.4,13:11,0,1,0.6,6.0,66.7,alzneka01,19-20
801,664,54.7,1.8,607,514,54.1,1.6,6.6,89.4,96.0,50.2,49.8,11:24,31,25,2.4,164.0,60.4,amadimi01,19-20
148,215,40.8,-0.9,115,154,42.8,0.6,9.8,92.5,102.3,39.2,60.8,11:08,4,7,-0.1,39.0,53.8,anderjo08,19-20
297,330,47.4,-2.7,230,238,49.1,-3.7,6.5,89.2,95.7,53.6,46.4,12:25,9,12,-0.7,98.0,64.3,anderjo05,19-20
82,111,42.5,-6.1,63,75,45.7,-0.7,14.9,96.0,110.9,42.6,57.4,16:46,0,2,0.1,16.0,56.3,andermi02,19-20
35,31,53.0,-2.8,28,26,51.9,-4.1,0.0,94.1,94.1,60.0,40.0,10:03,0,2,-1.6,3.0,66.7,anderja01,19-20
79,133,37.3,-6.7,68,103,39.8,-5.0,4.4,86.1,90.6,46.3,53.7,7:29,8,4,-3.2,14.0,92.9,anderli01,19-20
1203,1115,51.9,2.2,921,869,51.5,2.7,7.9,91.1,98.9,54.6,45.4,17:22,19,39,7.1,218.0,56.9,anderra01,19-20
99,100,49.7,-2.4,81,74,52.3,1.1,4.8,88.7,93.4,51.6,48.4,8:32,1,0,-0.8,19.0,73.7,andrean01,19-20
35,47,42.7,-2.8,28,36,43.8,-2.0,9.1,92.6,101.7,45.5,54.5,5:39,1,0,-0.5,7.0,71.4,angelan01,19-20
549,616,47.1,-0.8,394,459,46.2,-2.0,7.3,90.2,97.5,53.4,46.6,12:01,19,16,-3.2,177.0,49.2,anisiar01,19-20
404,411,49.6,0.3,308,317,49.3,1.4,5.1,90.8,95.9,47.0,53.0,10:06,11,10,-2.3,92.0,59.8,applema01,19-20
535,674,44.3,-4.1,406,476,46.0,-2.5,8.9,89.5,98.4,43.0,57.0,10:38,24,11,-5.7,119.0,53.8,archijo01,19-20
790,747,51.4,-4.8,587,575,50.5,-5.5,9.0,90.3,99.2,52.9,47.1,13:30,47,27,3.4,265.0,58.5,armiajo01,19-20
750,748,50.1,-0.7,558,569,49.5,-2.5,8.2,92.0,100.1,54.5,45.5,13:09,15,24,-5.7,263.0,48.3,arvidvi01,19-20
203,219,48.1,-2.5,161,181,47.1,-3.1,6.1,91.4,97.5,36.5,63.5,8:60,5,7,-1.1,44.0,81.8,asplura01,19-20
584,565,50.8,0.2,436,418,51.1,-0.3,7.3,93.0,100.3,30.9,69.1,12:16,20,21,6.4,157.0,62.4,astonza01,19-20
592,706,45.6,-0.1,479,547,46.7,1.1,6.8,84.0,90.7,52.1,47.9,13:48,15,31,-8.5,,,athanan01,19-20
599,600,50.0,0.3,464,440,51.3,-0.2,7.3,92.6,99.9,51.2,48.8,13:49,26,21,2.2,220.0,67.3,atkinca01,19-20
319,324,49.6,-1.6,242,219,52.5,1.0,10.2,90.4,100.6,47.6,52.4,10:12,13,9,1.9,88.0,54.5,aubekni01,19-20
191,178,51.8,0.2,151,131,53.5,1.9,7.2,90.4,97.6,54.8,45.2,8:59,5,9,1.9,,,backeda01,19-20
1062,1013,51.2,1.1,791,784,50.2,0.8,9.8,90.5,100.2,50.9,49.1,14:43,64,55,2.7,285.0,55.1,backlmi01,19-20
1017,861,54.2,2.6,763,638,54.5,3.0,11.3,87.5,98.8,52.5,47.5,14:56,34,42,6.1,220.0,60.0,backsni02,19-20
72,41,63.7,11.8,49,32,60.5,9.8,0.0,92.0,92.0,55.9,44.1,10:13,1,1,0.4,15.0,46.7,baertsv01,19-20
821,954,46.3,-0.6,598,705,45.9,-1.5,9.7,89.0,98.7,50.9,49.1,13:24,38,54,-3.4,161.0,58.4,bailejo01,19-20
8,17,32.0,-4.8,5,12,29.4,-6.6,0.0,100.0,100.0,22.2,77.8,5:20,0,1,-0.1,1.0,100.0,baileju01,19-20
164,146,52.9,3.4,119,108,52.4,2.6,7.8,90.4,98.2,55.0,45.0,10:08,7,5,-1.1,42.0,54.8,balceru01,19-20
