Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season,CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,ShiftLength,CorsiForRelES,GFPer60,GAPer60,ATOIPP,PPCorsiPercRel,PPGFPer60,PPGAPer60,ATOISH,CorsiForRelSH,SHFPPer60,SHGAPer60
Vitaly Abramov,22,OTT,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,19,9:43,0,0,0,0,,abramvi01,20-21,14,18,43.8,-2.8,8,14,36.4,-11.6,0.0,100.0,100.0,0.0,100.0,9:43,0,0,0.2,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4,0.2,0.2,-0.1,0.0,0.0,,0:46,-2.8,0.0,0.0,0:00,,,,0:00,,,
Noel Acciari,29,FLA,C,41,4,7,11,0,9,0.4,3,1,0,1,4,2,1,68,5.9,631,15:24,63,91,272,247,52.4,acciano01,20-21,430,474,47.6,-7.2,330,357,48.0,-7.0,6.7,93.0,99.8,31.6,68.4,12:13,17,11,3.1,102.0,66.7,4,0.1,0.17,0.27,0.1,1.66,6,10,16,6,23,4,32,13,23.1,20.0,3.1,-0.2,0.6,0.4,,0:32,-7.2,2.0,2.3,0:27,3.0,12.2,0.0,2:40,-3.9,1.1,7.1
Calen Addison,20,MIN,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,56,18:31,1,2,0,0,,addisca01,20-21,44,48,47.8,0.8,34,40,45.9,-1.7,12.0,91.7,103.7,75.9,24.1,15:46,0,0,1.0,6.0,66.7,0,0.0,0.0,0.0,0.0,1.33,0,0,0,0,3,0,2,0,2.8,1.8,1.0,-0.1,0.1,0.0,,0:44,0.8,3.8,2.5,2:44,10.0,0.0,0.0,0:00,,,
Kenny Agostino,28,TOR,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,4,4:08,0,0,0,0,,agostke01,20-21,3,1,75.0,12.3,3,1,75.0,15.7,0.0,100.0,100.0,0.0,100.0,4:08,0,0,0.1,0.0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,,0:43,12.3,0.0,0.0,0:00,,,,0:00,,,
Andrew Agozzino,30,ANA,LW,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,3,0.0,37,12:11,7,6,16,16,50.0,agozzan01,20-21,32,37,46.4,6.4,22,24,47.8,11.3,7.1,93.8,100.9,47.6,52.4,11:55,0,1,0.2,5.0,60.0,0,0.0,0.33,0.33,0.09,1.0,0,1,1,0,1,0,1,0,1.6,1.4,0.2,0.0,0.0,0.1,,0:53,6.4,1.7,1.7,0:00,,0.0,0.0,0:13,-4.3,0.0,0.0
Jack Ahcan,23,BOS,D,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,5,0.0,62,20:38,5,2,0,0,,ahcanja01,20-21,43,61,41.3,-10.7,38,49,43.7,-10.1,0.0,90.0,90.0,72.4,27.6,18:11,0,0,0.1,7.0,71.4,0,0.0,0.0,0.0,0.0,1.67,0,0,0,0,0,0,4,1,1.7,1.6,0.1,-0.1,-0.1,-0.2,,0:37,-10.7,0.0,3.3,2:03,-10.0,0.0,0.0,0:24,-7.4,0.0,49.3
Sebastian Aho,23,CAR,F,56,24,33,57,16,32,7.2,14,7,3,7,22,11,0,148,16.2,1090,19:28,25,38,365,327,52.7,ahose01,20-21,867,667,56.5,4.0,651,506,56.3,4.2,10.3,91.3,101.7,56.1,43.9,14:49,33,61,6.3,251.0,59.0,22,0.43,0.59,1.02,0.38,2.64,37,49,86,34,85,30,49,11,36.6,30.4,6.3,5.2,2.0,7.2,2.0,0:45,4.0,3.5,2.4,3:01,8.3,10.7,1.8,1:38,10.8,3.9,7.1
Sebastian Aho,24,NYI,D,3,1,1,2,-1,2,0.3,1,0,0,0,1,0,0,4,25.0,40,13:21,2,1,0,0,,ahose02,20-21,36,48,42.9,-12.2,27,40,40.3,-15.2,11.1,88.0,99.1,44.4,55.6,13:16,0,3,-0.1,8.0,50.0,1,0.33,0.33,0.67,0.27,1.33,2,1,3,1,2,0,3,0,1.7,1.8,-0.1,0.3,0.0,0.3,,0:47,-12.2,3.0,4.5,0:04,,0.0,0.0,0:00,,,
Frédéric Allard,23,NSH,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,17,16:59,1,0,0,0,,allarfr01,20-21,11,11,50.0,-6.3,11,7,61.1,2.6,0.0,60.0,60.0,50.0,50.0,16:59,0,0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0.5,0.4,0.0,0.0,-0.1,-0.1,,0:54,-6.3,0.0,7.1,0:00,,,,0:00,,,
Wade Allison,23,PHI,RW,14,4,3,7,1,4,0.8,3,1,0,1,3,0,0,24,16.7,181,12:56,10,28,0,1,0.0,alliswa01,20-21,146,123,54.3,2.1,104,93,52.8,1.4,7.2,91.9,99.2,51.9,48.1,11:12,6,3,3.2,39.0,61.5,3,0.29,0.21,0.5,0.21,1.71,6,4,10,4,7,1,5,0,7.4,4.1,3.2,0.6,0.2,0.8,,0:51,2.1,2.3,1.9,1:40,4.7,2.5,0.0,0:00,,0.0,0.0
