ShiftLength,CorsiForRelES,GFPer60,GAPer60,ATOIPP,PPCorsiPercRel,PPGFPer60,PPGAPer60,ATOISH,CorsiForRelSH,SHFPPer60,SHGAPer60,UID,season
0:45,-30.7,0.0,0.0,0:00,,,,0:00,,,,greeraj01,20-21
0:41,2.6,2.9,2.4,3:52,7.5,9.7,0.9,2:31,2.8,1.4,6.8,ekblaaa01,20-21
0:42,18.7,0.0,0.0,0:00,,,,0:00,,,,nessaa01,20-21
0:55,1.4,2.3,2.8,3:22,-2.0,6.5,1.5,0:03,-11.9,0.0,13.5,boqviad01,20-21
0:50,-2.1,3.2,1.1,0:07,-3.7,40.4,40.4,0:26,26.0,12.5,0.0,brookad01,20-21
0:45,1.0,2.3,2.1,1:33,5.5,6.1,0.9,0:00,39.0,0.0,0.0,ernead01,20-21
0:52,4.3,3.0,2.2,3:44,4.8,9.1,0.3,2:36,3.1,2.9,5.0,foxad01,20-21
0:43,3.6,3.0,4.5,1:01,0.5,12.7,0.0,0:00,-18.9,0.0,0.0,gaudead01,20-21
0:38,3.8,2.6,3.1,1:47,0.6,3.7,2.2,0:54,-2.5,1.4,9.8,henriad01,20-21
0:44,-4.0,2.0,2.0,0:01,-23.0,0.0,0.0,2:18,-0.5,0.0,5.6,larssad01,20-21
0:35,-3.6,2.6,2.4,0:46,-0.6,2.8,0.0,2:29,5.3,0.9,6.5,lowryad01,20-21
0:34,3.9,2.8,2.0,0:07,-1.7,0.0,0.0,2:14,-10.6,0.5,8.2,pelecad01,20-21
0:32,-7.0,4.9,0.0,1:32,14.8,0.0,0.0,0:03,,0.0,0.0,ruzicad01,20-21
0:45,-1.0,2.1,3.6,2:56,6.0,9.1,0.4,1:18,-3.7,0.8,3.2,kempead01,20-21
0:45,-1.3,3.7,2.4,1:26,-2.4,6.7,0.0,2:28,-9.7,1.4,4.2,martial01,20-21
0:54,-9.5,0.0,1.7,0:32,,0.0,0.0,0:00,,,,regulal01,20-21
0:51,8.1,3.7,2.6,3:59,6.9,8.3,1.2,1:25,3.6,0.8,12.6,barkoal01,20-21
0:33,-8.3,2.8,2.2,0:09,-88.0,0.0,0.0,0:08,-9.2,0.0,40.4,heponal01,20-21
0:52,3.1,1.9,1.9,2:43,0.8,5.8,1.4,0:00,,0.0,0.0,barreal01,20-21
0:29,3.3,3.0,6.0,0:39,0.0,0.0,0.0,0:00,,,,belzial01,20-21
0:42,-1.5,2.4,2.9,0:00,,,,1:08,10.8,0.0,8.4,biegaal01,20-21
0:54,-3.1,1.8,2.5,2:59,2.8,12.0,1.8,0:00,-11.6,0.0,0.0,chiasal01,20-21
0:46,0.8,3.8,3.2,3:48,-8.4,7.1,1.5,0:26,7.0,2.5,9.8,debrial01,20-21
0:48,-5.1,3.3,2.1,0:00,19.6,0.0,0.0,1:57,3.1,1.5,4.6,formeal01,20-21
0:41,-12.2,0.0,4.9,0:58,13.2,9.1,4.6,0:00,-12.9,0.0,0.0,galchal01,20-21
0:47,-0.7,3.0,2.9,0:58,-8.3,8.6,0.0,2:56,-3.3,0.0,8.0,goligal01,20-21
0:44,4.5,2.5,3.0,2:53,6.7,9.1,0.8,1:57,-4.0,0.0,8.3,iafalal01,20-21
0:38,3.3,2.6,2.7,3:04,-0.9,9.7,0.3,1:48,5.6,0.6,6.7,killoal01,20-21
0:43,-0.5,4.8,0.8,1:00,2.5,0.0,0.0,0:09,-9.1,0.0,0.0,newhoal01,20-21
0:44,-2.3,3.5,3.4,4:12,5.8,9.3,2.2,0:01,-13.5,0.0,0.0,ovechal01,20-21
0:47,-1.7,3.8,2.5,2:38,-7.9,4.3,0.5,2:13,0.5,0.7,2.7,pietral01,20-21
0:49,1.8,3.2,1.9,2:01,-1.1,5.9,0.5,0:45,5.1,0.0,8.6,tuchal01,20-21
0:45,5.8,5.6,5.6,1:20,-6.8,4.1,0.0,0:00,,,,barabal01,20-21
0:37,-3.0,2.5,3.3,0:16,-8.8,3.9,0.0,3:27,-3.9,1.0,7.4,edleral01,20-21
0:39,-3.9,2.2,2.2,0:35,4.6,10.7,0.0,1:31,4.8,1.4,7.7,kerfoal01,20-21
0:48,14.3,4.2,0.8,3:37,5.2,18.2,1.5,0:00,-12.4,0.0,0.0,radulal01,20-21
1:00,0.0,2.5,2.6,0:44,3.2,4.3,0.0,0:50,-1.2,2.6,9.1,romanal01,20-21
0:36,4.2,1.8,0.9,0:00,,0.0,0.0,0:37,-4.4,0.0,0.0,trueal01,20-21
0:45,-3.1,2.5,2.8,0:19,-0.2,0.0,0.0,0:36,-6.8,0.0,2.7,volkoal01,20-21
0:45,-1.3,3.7,3.2,1:55,-4.2,5.5,0.5,2:32,-2.3,0.8,5.9,wennbal01,20-21
0:48,0.4,2.1,1.6,0:23,-25.0,16.9,0.0,1:36,3.9,1.9,13.4,carrial01,20-21
0:41,0.2,2.0,3.4,0:57,1.9,5.1,0.0,1:05,6.1,1.1,4.4,texieal01,20-21
0:40,-1.5,2.6,3.0,1:16,-6.9,1.7,1.7,0:00,11.0,0.0,0.0,lafreal01,20-21
0:52,-4.0,1.7,3.0,0:03,15.8,0.0,0.0,1:37,-4.8,0.0,2.5,bjorkan01,20-21
0:40,8.1,3.9,2.1,2:24,-8.7,4.4,0.0,0:03,26.1,0.0,116.1,leean01,20-21
0:48,0.7,3.2,2.9,2:11,0.3,9.4,0.0,0:00,,0.0,0.0,burakan01,20-21
0:39,-0.8,2.5,3.0,1:52,-6.7,1.4,0.7,0:02,8.9,0.0,0.0,athanan01,20-21
0:56,-2.1,2.9,4.4,0:01,,0.0,0.0,0:07,,0.0,0.0,borgman01,20-21
0:52,2.3,2.4,2.4,1:20,2.5,5.4,0.9,0:22,8.8,0.0,18.6,johnsan01,20-21
0:50,1.6,3.2,2.8,2:56,9.0,10.9,1.1,0:00,29.7,0.0,0.0,svechan01,20-21
0:41,-1.2,3.0,1.9,0:01,13.5,0.0,0.0,2:42,-1.7,0.5,8.4,sekeran01,20-21
0:53,6.4,1.7,1.7,0:00,,0.0,0.0,0:13,-4.3,0.0,0.0,agozzan01,20-21
0:40,-0.3,1.6,2.4,0:06,-27.3,0.0,7.5,1:28,11.1,0.8,6.0,coglian01,20-21
0:40,-1.0,2.7,2.7,1:47,2.1,10.2,0.6,2:29,8.9,0.4,6.5,coppan01,20-21
0:33,1.3,2.7,2.4,1:48,-1.6,5.9,2.4,1:20,2.4,0.7,6.0,mangian01,20-21
0:52,-3.2,1.9,3.6,0:01,,0.0,0.0,0:19,5.3,17.1,17.1,peekean01,20-21
0:33,-0.8,0.4,2.4,3:42,11.4,10.2,0.0,0:48,-5.0,0.0,0.0,shawan01,20-21
0:28,-19.0,0.0,7.0,0:01,,0.0,0.0,0:00,,0.0,0.0,andrean01,20-21
0:37,-2.8,2.1,1.7,0:07,-16.6,0.0,0.0,1:45,5.5,1.2,2.4,greenan01,20-21
0:29,1.9,3.0,1.7,1:17,5.4,0.0,0.0,0:03,,0.0,0.0,welinan01,20-21
0:39,4.3,2.2,0.4,0:48,2.2,3.9,0.0,0:00,-15.4,,,angelan01,20-21
0:39,-1.8,3.1,1.8,1:48,3.4,4.8,0.0,0:24,-2.3,0.0,0.0,beauvan01,20-21
0:42,-5.2,1.9,4.5,0:20,-12.3,11.4,0.0,0:35,0.6,0.0,7.2,bitetan01,20-21
0:38,0.8,2.3,2.5,1:55,-0.3,5.5,0.6,2:02,-4.3,1.2,8.1,cirelan01,20-21
0:51,3.3,4.6,1.8,1:19,-3.1,4.0,0.0,0:34,0.6,2.3,2.3,duclaan01,20-21
0:58,3.7,2.5,3.8,2:28,-6.2,2.8,0.6,0:05,22.6,0.0,0.0,manthan01,20-21
0:28,1.2,1.6,1.1,0:01,,0.0,0.0,2:00,6.7,1.7,5.1,roussan01,20-21
0:43,-3.0,0.6,3.8,0:00,10.8,0.0,0.0,1:14,-0.8,0.0,4.9,blidhan01,20-21
0:43,-6.4,2.6,2.7,0:43,-6.9,4.2,0.0,1:38,-3.4,0.0,7.6,stralan01,20-21
0:47,4.8,0.0,0.0,0:03,,0.0,0.0,1:43,11.1,0.0,0.0,suomean01,20-21
0:42,4.9,2.6,3.0,3:15,8.8,8.9,0.3,2:04,-4.6,0.0,8.8,kopitan01,20-21
0:53,-2.4,2.2,1.9,1:50,5.6,5.1,1.7,0:00,-17.2,0.0,0.0,anisiar01,20-21
0:41,1.0,3.3,3.0,0:04,19.0,14.2,0.0,2:08,-3.5,0.6,5.9,zubar01,20-21
0:49,2.8,3.9,2.6,3:59,2.2,9.4,0.4,0:00,-14.3,0.0,0.0,panarar01,20-21
0:47,0.8,4.3,8.7,0:54,0.0,0.0,0.0,0:00,,,,kaliyar01,20-21
0:44,-2.0,2.2,4.7,1:06,-2.4,6.3,3.2,0:00,,,,ruotsar01,20-21
0:26,-2.0,1.5,2.2,0:05,-14.9,0.0,0.0,2:01,-9.8,1.3,8.8,lehkoar01,20-21
0:51,-3.0,0.0,1.5,1:38,-15.6,0.0,0.0,0:30,-14.3,0.0,0.0,czarnau01,20-21
0:24,0.1,1.6,3.2,0:00,,,,0:00,,0.0,0.0,poganau01,20-21
0:53,-4.6,3.1,2.7,0:02,13.0,0.0,0.0,0:18,21.0,12.9,0.0,stranau01,20-21
0:46,-0.2,1.5,3.3,0:06,-19.2,0.0,0.0,0:01,-7.6,0.0,0.0,wagneau01,20-21
0:42,-8.3,2.9,4.3,0:02,14.9,0.0,0.0,2:07,2.9,0.8,4.2,watsoau01,20-21
0:47,3.6,4.2,2.6,3:13,-4.4,6.8,1.4,0:09,-6.0,0.0,0.0,matthau01,20-21
