Last,First,Team,RateAssist,RateCDefence,RateClearing,RateCoincidentalMinor,RateCRank,RateCShotPct,RateCShotPlus,RateFaceoff,RateFight,RateForechecking,RateGameFatigue,RateGameMisconduct,RateGRank,RateGrossMisconduct,RateHiddenGoalScored,RateHiddenSaveClear,RateHiddenSaveFaceoff,RateHiddenSaveRebound,RateHiddenShotDefender,RateHiddenShotDeflected,RateHiddenShotOnGoal,RateHiddenShotWide,RateInactive,RateInjuryFactor,RateIntimidation,RateLDDefence,RateLDRank,RateLDShotPct,RateLDShotPlus,RateLWDefense,RateLWRank,RateLWShotPct,RateLWShotPlus,RateMajor,RateMatch,RateMinor,RateMisconduct,RatePassing,RatePenaltyKilling,RatePhysical,RatePosition,RateRDDefence,RateRDRank,RankRDShotPct,RateRDShotPlus,RateRock,RateRookie,RateRwDefence,RateRWRank,RateRWShotPct,RateRWShotPlus,RateSDefence,RateShiftFatigue,RateShotBlocking,RateSkating,RateSpeed,RateSShotPct,RateSShotPlus,RealAssists,RealBlockedShots,RealCornersLost,RealCornersWon,RealCurrentPointStreak,RealEmptyNetGoals,RealFaceoffsLost,RealFaceoffsWon,RealFightsLost,RealFightsTied,RealFightsWon,RealGAA,RealGamesPlayed,RealGameTyingGoals,RealGameWinningGoals,RealGoals,RealGoalsAgainst,RealHits,RealLongestPointStreak,RealLosses,RealMinutes,RealPassesCompleted,RealPassesIncomplete,RealPenaltyMinutes,RealPlusMinus,RealPoints,RealPowerplayGoals,RealSavePct,RealSaves,RealShorthandedGoals,RealShotsOnGoal,RealShutouts,RealTies,RealWins,SimAssists,SimAssistsLastGame,SimBlockedShots,SimCoincidentalMinors,SimCornersLost,SimCornersWon,SimCurrentPointStreak,SimDaysInjured,SimEmptyNetGoals,SimFaceoffsLost,SimFaceoffsWon,SimFights,SimFightsLost,SimFightsTied,SimFightsWon,SimGAA,SimGameMisconducts,SimGamesPlayed,SimGameTyingGoals,SimGameWinningGoals,SimGoals,SimGoalsAgainst,SimGoalsLastGame,SimGrossMisconducts,SimHits,SimLongestPointStreak,SimLosses,SimMajors,SimMatches,SimMinors,SimMinutes,SimMisconducts,SimPassesCompleted,SimPassesIncomplete,SimPenaltiesInMinutes,SimPlusMinus,SimPoints,SimPowerPlayGoals,SimSavePct,SimSaves,SimShorthandedGoals,SimShotsOnGoal,SimShutouts,SimTies,SimWins,Unused1,Unused2,Unused3,Unused4,Unused5,Unused6
Chara,Zdeno,NYI,19,0,5,2,,0,0,0,6,0,1125,0,,0,86,3,0,10,26,14,45,14,0,10,5,3,1,5,9,0,,0,0,0,0,1,999,3,0,4,LD,0,,0,0,0,N,0,,0,0,0,120,0,2,1,5,9,12,90,0,0,0,0,0,0,0,5,0,0,72,0,0,2,0,125,0,0,1349,0,0,85,8,14,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Thornton,Joe,FLA,1,1,0,1,1,38,88,2,0,1,675,0,,0,86,3,0,10,40,15,23,21,0,48,1,0,,0,0,1,2,38,88,0,0,2,0,4,0,2,C,0,,0,0,0,N,0,,0,0,0,90,0,1,2,38,88,5,10,0,0,0,0,98,77,0,0,0,0,34,0,1,5,0,20,0,0,379,0,0,10,-10,10,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Spezza,Jason,TOR,21,2,0,1,1,25,53,4,0,2,645,0,,0,86,3,0,10,20,10,65,4,0,11,1,0,,0,0,0,,0,0,0,0,2,0,3,0,1,C,0,,0,0,0,N,0,,0,0,0,90,0,3,2,25,53,13,24,0,0,0,0,272,305,0,0,0,0,71,0,1,12,0,31,0,0,763,0,0,26,-3,25,3,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Keith,Duncan,EDM,45,0,2,0,,0,0,0,0,0,1185,0,,0,86,3,0,10,26,12,50,11,0,18,2,4,1,3,0,0,,0,0,0,0,1,0,4,0,1,LD,0,,0,0,0,N,0,,0,0,0,120,1,4,3,3,0,20,114,0,0,0,0,0,0,0,0,0,0,64,0,1,1,0,22,0,0,1263,0,0,22,15,21,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
R.Suter,Ryan,DAL,21,0,2,1,,0,0,0,0,0,1425,0,,0,86,3,0,10,32,20,32,15,0,0,1,3,1,12,7,0,,0,0,0,0,1,0,4,0,2,LD,0,,0,0,0,N,0,,0,0,0,120,0,3,2,12,7,25,88,0,0,0,0,0,0,0,0,0,0,82,0,0,7,0,46,0,0,1940,0,0,40,1,32,4,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Carter,Jeff,PIT,38,3,0,0,1,19,30,5,0,3,1065,0,,0,86,3,0,10,22,11,57,9,0,6,3,0,,0,0,0,,0,0,0,0,2,0,4,0,3,C,0,,0,0,1,N,0,,0,0,0,90,0,3,4,19,30,26,50,0,0,0,0,489,648,0,0,0,0,76,0,2,19,0,99,0,0,1343,0,0,38,-8,45,3,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
D.Brown,Dustin,LAK,175,0,0,1,,0,0,0,0,4,885,0,,0,86,3,0,10,0,0,125,0,0,18,3,0,,0,0,0,,0,0,0,0,1,0,3,0,4,RW,0,,0,0,0,N,4,1,12,34,0,90,0,3,2,12,12,19,20,0,0,0,0,8,2,0,0,0,0,64,0,0,9,0,88,0,0,943,0,0,20,-3,28,1,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Parise,Zach,NYI,37,0,0,0,,0,0,0,0,2,915,0,,0,86,3,0,10,20,13,60,6,0,0,2,0,,0,0,3,1,22,42,0,0,1,0,3,0,2,LW,0,,0,0,0,N,3,2,22,42,0,90,1,4,3,22,42,20,57,0,0,0,0,47,28,0,0,0,0,82,0,4,15,0,60,0,0,1253,0,0,28,-2,35,2,0,0,2,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Getzlaf,Ryan,ANA,519,2,0,1,1,6,6,4,1,3,1140,0,,0,86,3,0,10,17,8,69,5,0,26,3,0,,0,0,0,,0,0,0,0,1,0,4,0,4,C,0,,0,0,0,N,0,,0,0,0,90,1,3,2,6,6,34,56,0,0,0,0,479,546,0,1,0,0,56,0,1,3,0,89,0,0,1062,0,0,29,-14,37,2,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Burns,Brent,SJS,119,0,3,0,,0,0,0,0,0,1575,0,,0,86,3,0,10,2,2,95,0,0,0,3,0,,0,0,0,,0,0,0,0,1,0,4,0,1,RD,4,1,10,25,0,N,0,,0,0,0,120,0,4,3,10,25,44,150,0,0,0,0,1,0,0,0,0,0,82,0,0,10,0,55,0,0,2144,0,0,42,-15,54,4,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Boyle,Brian,PIT,62,4,0,0,1,25,47,2,4,4,645,0,,0,86,3,0,10,9,7,83,0,0,16,3,0,,0,0,4,2,25,47,0,0,1,0,2,1,4,C,0,,0,0,0,N,0,,0,0,0,90,1,2,2,25,47,10,39,0,0,0,0,200,165,0,3,0,0,66,0,1,11,0,95,0,0,712,0,0,27,6,21,0,0,0,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Perry,Corey,TBL,36,0,0,5,,0,0,0,3,3,810,0,,0,86,3,0,10,31,11,40,17,0,0,4,0,,0,0,0,,0,0,0,0,3,40,3,0,3,RW,0,,0,0,1,N,3,1,25,45,0,90,0,3,2,25,25,21,28,0,0,0,0,2,2,0,2,0,0,82,0,4,19,0,73,0,0,1109,0,0,66,9,40,6,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Eriksson,Loui,ARI,155,0,0,1,,0,0,1,0,2,780,0,,0,86,3,0,10,19,9,65,6,0,9,1,0,,0,0,3,2,7,15,0,0,1,0,2,0,1,RW,0,,0,0,0,N,3,1,7,15,0,90,0,3,2,7,15,16,23,0,0,0,0,16,20,0,0,0,0,73,0,0,3,0,17,0,0,943,0,0,6,-18,19,0,0,0,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Bergeron,Patrice,BOS,71,5,0,1,1,17,25,5,0,5,1095,0,,0,86,3,0,10,25,8,59,7,0,9,2,0,,0,0,0,,0,0,0,0,2,0,5,1,3,C,0,,0,0,1,N,0,,0,0,0,90,0,4,4,17,25,40,45,0,0,0,0,609,991,0,0,0,0,73,0,4,25,0,78,0,0,1326,0,0,32,26,65,8,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Richardson,Brad,CGY,0,3,0,2,1,21,52,4,23,3,600,0,,0,86,3,0,10,36,17,28,18,0,55,3,0,,0,0,3,2,21,52,0,12,4,0,2,0,3,C,0,,0,0,0,N,0,,0,0,0,90,1,2,2,21,52,2,9,0,0,0,0,56,80,0,1,0,0,27,0,0,2,0,40,0,0,268,0,0,27,-2,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Richardson,Brad,VAN,10,3,0,0,1,33,99,4,0,3,660,0,,0,86,3,0,10,36,16,30,17,0,65,3,0,,0,0,3,2,33,99,0,0,4,0,2,0,3,C,0,,0,0,0,N,0,,0,0,0,90,1,2,2,33,99,2,11,0,0,0,0,44,59,0,0,0,0,17,0,1,2,0,19,0,0,185,0,0,8,1,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
N.Thompson,Nate,PHI,1,3,0,0,1,9,34,5,2,3,720,0,,0,86,3,0,10,32,16,33,18,0,49,3,0,,0,0,3,2,9,34,0,0,1,999,2,1,3,C,0,,0,0,0,N,0,,0,0,0,90,1,2,1,9,34,2,20,0,0,0,0,127,160,0,1,0,0,33,0,0,1,0,49,0,0,395,0,0,31,-15,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Pavelski,Joe,DAL,285,0,0,1,,0,0,3,0,4,1110,0,,0,86,3,0,10,23,9,57,10,0,0,3,0,,0,0,0,,0,0,0,0,1,0,5,0,3,RW,0,,0,0,1,N,3,1,25,37,0,90,1,4,3,25,25,54,69,0,0,0,0,357,394,0,0,0,0,82,0,2,27,0,104,0,0,1515,0,0,14,11,81,12,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Giordano,Mark,SEA,98,0,3,1,,0,0,0,1,0,1290,0,,0,86,3,0,10,5,0,94,0,0,27,3,3,1,10,94,0,,0,0,0,0,2,999,3,0,3,LD,0,,0,0,0,N,0,,0,0,0,120,1,3,2,10,94,17,98,0,0,0,0,0,0,0,1,0,0,55,0,0,6,0,46,0,0,1182,0,0,47,-21,23,0,0,0,2,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Giordano,Mark,TOR,139,0,3,2,,0,0,0,0,0,1155,0,,0,86,3,0,10,9,5,83,2,0,62,3,3,1,14,99,0,,0,0,0,0,1,0,3,0,3,LD,0,,0,0,0,N,0,,0,0,0,120,1,3,2,14,99,10,41,0,0,0,0,0,0,0,0,0,0,20,0,1,2,0,29,0,0,384,0,0,10,12,12,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
