Player,season,Pos,GP,ATOI,BLK,CorsiForPerc,FenwickPerc,CorsiForPercRel,FenwickPercRel,CorsiAgainst,DZoneStartPerc,GAPer60,XGA,XGF,GFPer60,exGA60,exGF60,BLK_60,CorsiAgainst_60,DefenceRating
Justin Abdelkader,14-15,LW,71,1075,28.0,56.4,55.3,4.0,4.1,704,36.4,2.3,29.3,39.1,2.9,1.3819849328529317,1.844218801179168,1.3206681952178185,33.20537176547658,5.0
Will Acton,14-15,C,3,643,3.0,44.7,53.3,-9.8,1.9,26,89.5,6.4,0.7,0.5,2.1,1.3063763608087091,0.9331259720062208,5.598755832037325,48.52255054432348,3.0
Luke Adam,14-15,C,3,387,0.0,55.0,38.5,8.7,-8.0,9,70.0,0.0,0.8,0.1,0.0,2.4806201550387597,0.31007751937984496,0.0,27.906976744186046,3.0
Craig Adams,14-15,RW,70,585,29.0,47.8,47.9,-6.3,-6.6,396,50.0,1.6,18.0,14.6,1.3,1.5824175824175821,1.2835164835164836,2.5494505494505493,34.81318681318681,4.0
Andrew Agozzino,14-15,LW,1,585,0.0,36.4,43.8,-11.8,-4.4,14,50.0,0.0,0.3,0.4,6.2,1.8461538461538463,2.4615384615384617,0.0,86.15384615384616,3.0
Jason Akeson,14-15,RW,13,483,4.0,38.4,39.3,-9.5,-9.1,114,50.0,1.2,4.3,2.2,0.6,2.4653607262302915,1.2613473483038702,2.2933588150979456,65.36072623029146,2.0
Bryan Allen,14-15,D,11,943,15.0,53.4,51.4,-2.2,-2.5,137,54.8,2.5,4.3,5.1,2.5,1.4923358719753204,1.7699797551335197,5.205822809216234,47.54651499084161,3.0
Conor Allen,14-15,D,4,732,0.0,57.6,53.4,11.1,5.8,36,32.3,2.5,1.4,2.0,1.3,1.721311475409836,2.459016393442623,0.0,44.26229508196721,3.0
Mark Alt,14-15,D,1,565,0.0,70.6,63.6,40.5,40.0,5,50.0,6.4,0.6,0.2,0.0,3.8230088495575214,1.2743362831858407,0.0,31.858407079646017,2.0
Karl Alzner,14-15,D,82,1166,165.0,50.7,50.6,-0.9,-1.4,1204,50.5,1.8,48.3,53.0,2.3,1.8186001757101617,1.9955654101995566,6.21260929590428,45.333221771325775,3.0
Josh Anderson,14-15,RW,6,807,2.0,51.0,46.3,2.2,-2.2,71,53.5,3.0,3.4,2.2,2.2,2.527881040892193,1.6356877323420076,1.486988847583643,52.78810408921933,2.0
Joakim Andersson,14-15,C,68,698,24.0,43.8,44.2,-11.8,-9.8,556,61.2,2.0,26.4,17.8,1.4,2.0023596831282653,1.3500758469576943,1.8203269846620596,42.17090847800438,3.0
Andy Andreoff,14-15,C,18,514,0.0,47.1,45.2,-7.1,-7.7,139,40.6,0.8,6.9,5.3,1.2,2.6848249027237356,2.0622568093385216,0.0,54.08560311284047,2.0
Sven Andrighetto,14-15,RW,12,565,4.0,45.3,45.2,1.2,0.3,81,39.6,1.9,3.2,2.4,3.2,1.6991150442477876,1.2743362831858405,2.1238938053097343,43.008849557522126,4.0
Mike Angelidis,14-15,LW,3,441,0.0,53.3,45.5,3.8,-1.4,14,25.0,0.0,0.7,0.5,0.0,1.9047619047619044,1.3605442176870746,0.0,38.0952380952381,4.0
Artem Anisimov,14-15,C,52,983,26.0,50.9,50.6,3.2,3.0,586,55.3,3.4,29.1,27.4,2.7,2.049456138978011,1.9297284607559277,1.8311291963377416,41.27083496361218,3.0
