Player,season,Pos,GP,FOW,FOL,FaceoffRating
Justin Abdelkader,14-15,LW,71,7.0,8.0,0
Will Acton,14-15,C,3,4.0,4.0,4
Luke Adam,14-15,C,3,0.0,0.0,0
Craig Adams,14-15,RW,70,17.0,23.0,0
Andrew Agozzino,14-15,LW,1,0.0,2.0,0
Jason Akeson,14-15,RW,13,1.0,1.0,0
Bryan Allen,14-15,D,11,0.0,0.0,0
Conor Allen,14-15,D,4,0.0,0.0,0
Mark Alt,14-15,D,1,0.0,0.0,0
Karl Alzner,14-15,D,82,0.0,0.0,0
Josh Anderson,14-15,RW,6,0.0,0.0,0
Joakim Andersson,14-15,C,68,192.0,183.0,11
Andy Andreoff,14-15,C,18,32.0,29.0,7
Sven Andrighetto,14-15,RW,12,3.0,12.0,0
Mike Angelidis,14-15,LW,3,7.0,12.0,0
Artem Anisimov,14-15,C,52,102.0,127.0,5
Mark Arcobello,14-15,C,77,471.0,468.0,14
Joel Armia,14-15,RW,1,0.0,0.0,0
Viktor Arvidsson,14-15,LW,6,0.0,0.0,0
Carter Ashton,14-15,RW,7,1.0,4.0,0
Cam Atkinson,14-15,RW,78,4.0,5.0,0
Keith Aulie,14-15,D,31,0.0,0.0,0
David Backes,14-15,C,80,615.0,507.0,22
Mikael Backlund,14-15,C,52,432.0,456.0,12
Nicklas Bäckström,14-15,C,82,862.0,747.0,21
Sven Baertschi,14-15,LW,18,0.0,0.0,0
Casey Bailey,14-15,C,6,0.0,0.0,0
Josh Bailey,14-15,LW,70,30.0,36.0,5
Keith Ballard,14-15,D,14,0.0,0.0,0
Mark Barberio,14-15,D,52,0.0,0.0,0
Aleksander Barkov,14-15,C,71,462.0,540.0,8
Tyson Barrie,14-15,D,80,0.0,0.0,0
Matt Bartkowski,14-15,D,47,0.0,0.0,0
Victor Bartley,14-15,D,37,0.0,0.0,0
Kyle Baun,14-15,RW,3,0.0,0.0,0
Jay Beagle,14-15,RW,62,217.0,167.0,17
François Beauchemin,14-15,D,64,1.0,0.0,-1
Nathan Beaulieu,14-15,D,64,0.0,0.0,0
Taylor Beck,14-15,LW,62,5.0,5.0,0
Matt Beleskey,14-15,LW,65,8.0,11.0,0
Pierre-Édouard Bellemare,14-15,LW,81,360.0,395.0,9
Brett Bellemore,14-15,D,49,0.0,0.0,0
Jamie Benn,14-15,LW,82,298.0,278.0,14
Jordie Benn,14-15,D,73,0.0,1.0,0
Beau Bennett,14-15,RW,49,0.0,2.0,0
Sam Bennett,14-15,C,1,2.0,10.0,0
André Benoit,14-15,D,59,0.0,0.0,0
Sean Bergenheim,14-15,LW,56,2.0,4.0,0
Patrice Bergeron,14-15,C,81,1175.0,764.0,27
Patrik Berglund,14-15,C,77,161.0,168.0,6
Steve Bernier,14-15,RW,67,1.0,1.0,0
Stu Bickel,14-15,D,9,0.0,0.0,0
Bryan Bickell,14-15,LW,80,0.0,2.0,0
Alex Biega,14-15,D,7,0.0,0.0,0
Danny Biega,14-15,D,10,0.0,0.0,0
Kevin Bieksa,14-15,D,60,0.0,0.0,0
Anthony Bitetto,14-15,D,7,1.0,0.0,0
Nick Bjugstad,14-15,C,72,486.0,508.0,12
Jesse Blacker,14-15,D,1,0.0,0.0,0
Jonathon Blum,14-15,D,4,0.0,0.0,0
Mike Blunden,14-15,RW,2,0.0,0.0,0
Troy Bodie,14-15,RW,5,0.0,0.0,0
Zach Bogosian,14-15,D,62,0.0,0.0,0
Alexandre Bolduc,14-15,C,3,10.0,9.0,14
Jared Boll,14-15,RW,72,0.0,2.0,0
Dave Bolland,14-15,C,53,414.0,517.0,6
Brandon Bollig,14-15,LW,62,3.0,2.0,0
Nick Bonino,14-15,C,75,585.0,649.0,10
David Booth,14-15,LW,59,6.0,7.0,0
Patrick Bordeleau,14-15,LW,1,0.0,0.0,0
Mark Borowiecki,14-15,D,63,0.0,0.0,0
Robert Bortuzzo,14-15,D,51,1.0,0.0,-1
Reid Boucher,14-15,LW,11,0.0,0.0,0
Eric Boulton,14-15,LW,10,0.0,0.0,0
Lance Bouma,14-15,C,78,29.0,45.0,5
Michael Bournival,14-15,LW,29,4.0,1.0,0
Gabriel Bourque,14-15,LW,69,3.0,3.0,0
Rene Bourque,14-15,RW,51,4.0,6.0,0
Ryan Bourque,14-15,C,1,0.0,0.0,0
Jay Bouwmeester,14-15,D,72,0.0,0.0,0
Drayson Bowman,14-15,LW,3,0.0,0.0,0
Johnny Boychuk,14-15,D,72,2.0,1.0,0
Zach Boychuk,14-15,LW,31,0.0,0.0,0
Brad Boyes,14-15,RW,78,97.0,76.0,5
Brian Boyle,14-15,C,82,438.0,456.0,12
Dan Boyle,14-15,D,65,0.0,0.0,0
Tyler Bozak,14-15,C,82,944.0,831.0,20
Derick Brassard,14-15,C,80,669.0,699.0,12
Justin Braun,14-15,D,70,0.0,0.0,0
T.J. Brennan,14-15,D,6,0.0,0.0,0
Eric Brewer,14-15,D,44,0.0,0.0,0
