CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
909,704,56.4,4.0,668,540,55.3,4.1,9.7,90.5,100.2,63.6,36.4,14:10,16,29,9.7,237.0,65.0,abdelju01,14-15
21,26,44.7,-9.8,16,14,53.3,1.9,11.1,70.0,81.1,10.5,89.5,9:21,2,0,-0.2,3.0,66.7,actonwi01,14-15
11,9,55.0,8.7,5,8,38.5,-8.0,0.0,100.0,100.0,30.0,70.0,6:21,0,0,-0.7,1.0,0.0,adamlu01,14-15
363,396,47.8,-6.3,268,292,47.9,-6.6,5.6,93.7,99.2,50.0,50.0,7:10,6,7,-3.4,76.0,67.1,adamscr01,14-15
8,14,36.4,-11.8,7,9,43.8,-4.4,20.0,100.0,120.0,50.0,50.0,9:45,1,0,0.0,2.0,50.0,agozzan01,14-15
71,114,38.4,-9.5,53,82,39.3,-9.1,2.6,96.9,99.4,50.0,50.0,7:49,1,3,-2.1,20.0,45.0,akesoja01,14-15
157,137,53.4,-2.2,109,103,51.4,-2.5,7.7,90.3,98.0,45.2,54.8,13:46,0,8,0.8,,,allenbr01,14-15
49,36,57.6,11.1,31,27,53.4,5.8,4.3,90.5,94.8,67.7,32.3,11:57,0,3,0.6,4.0,50.0,allenco01,14-15
12,5,70.6,40.5,7,4,63.6,40.0,0.0,75.0,75.0,50.0,50.0,9:25,0,0,-0.4,6.0,0.0,altma01,14-15
1239,1204,50.7,-0.9,883,862,50.6,-1.4,8.7,93.2,101.9,49.5,50.5,17:06,15,35,4.7,171.0,42.7,alzneka01,14-15
74,71,51.0,2.2,50,58,46.3,-2.2,7.1,90.5,97.6,46.5,53.5,13:26,3,3,-1.2,19.0,52.6,anderjo05,14-15
434,556,43.8,-11.8,325,411,44.2,-9.8,6.0,93.5,99.5,38.8,61.2,9:21,8,13,-8.6,103.0,71.8,anderjo03,14-15
124,139,47.1,-7.1,90,109,45.2,-7.7,4.8,97.3,102.1,59.4,40.6,8:28,7,4,-1.6,28.0,50.0,andrean01,14-15
67,81,45.3,1.2,52,63,45.2,0.3,12.5,92.9,105.4,60.4,39.6,7:52,1,2,-0.8,21.0,57.1,andrisv01,14-15
16,14,53.3,3.8,10,12,45.5,-1.4,0.0,100.0,100.0,75.0,25.0,7:18,0,0,-0.2,0.0,,angelmi01,14-15
608,586,50.9,3.2,459,449,50.6,3.0,9.0,89.3,98.3,44.7,55.3,12:45,24,21,-1.8,175.0,50.3,anisiar01,14-15
988,907,52.1,2.6,730,693,51.3,2.1,7.1,91.2,98.3,60.2,39.8,13:16,39,43,-6.0,,,arcobma01,14-15
4,11,26.7,-0.9,4,9,30.8,0.8,0.0,100.0,100.0,40.0,60.0,14:47,0,0,-0.4,0.0,,armiajo01,14-15
50,55,47.6,-4.1,38,36,51.4,-0.5,4.0,96.3,100.3,54.0,46.0,10:15,3,3,-1.0,18.0,50.0,arvidvi01,14-15
28,43,39.4,-1.8,22,31,41.5,0.9,0.0,88.0,88.0,41.7,58.3,6:09,2,1,-0.3,7.0,57.1,ashtoca01,14-15
1009,1062,48.7,1.7,758,815,48.2,1.4,7.3,93.0,100.3,50.1,49.9,13:38,40,22,-5.4,337.0,62.9,atkinca01,14-15
345,447,43.6,-5.3,252,327,43.5,-4.8,10.1,90.2,100.3,44.4,55.6,13:35,4,12,-4.6,59.0,42.4,aulieke01,14-15
1085,1078,50.2,-2.7,836,747,52.8,-0.6,10.3,90.4,100.8,42.3,57.7,14:25,38,29,6.6,301.0,60.5,backeda01,14-15
654,767,46.0,2.3,474,511,48.1,3.4,10.5,91.3,101.8,39.1,60.9,14:24,58,42,0.1,194.0,53.6,backlmi01,14-15
1417,1235,53.4,3.2,1044,890,54.0,3.8,8.9,90.8,99.6,55.7,44.3,16:20,55,35,4.6,282.0,53.9,backsni02,14-15
130,166,43.9,-1.2,89,114,43.8,-3.9,10.8,87.3,98.1,48.9,51.1,9:25,7,5,-2.8,,,baertsv01,14-15
42,40,51.2,7.1,35,30,53.8,8.4,7.1,95.0,102.1,57.1,42.9,8:55,1,1,0.9,11.0,81.8,baileca01,14-15
1155,1019,53.1,0.2,836,711,54.0,-0.5,8.9,90.3,99.2,64.4,35.6,14:48,53,47,14.4,261.0,53.6,bailejo01,14-15
126,160,44.1,-12.1,91,116,44.0,-13.0,12.3,87.4,99.7,48.4,51.6,11:18,2,5,-1.4,10.0,50.0,ballake01,14-15
777,697,52.7,1.2,571,527,52.0,0.9,6.7,91.5,98.2,54.4,45.6,15:56,13,20,4.6,122.0,43.4,barbema01,14-15
