Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
LW,1,0.0,0.18,0.18,0.05,0.76,0,3,3,1,4,0,2,0,2,4.1,6.0,-1.9,0.0,0.2,0.2,,greeraj01,17-18
D,14,0.2,0.27,0.46,0.18,2.3,16,22,38,15,115,23,103,20,9,65.4,73.3,-7.9,3.1,4.7,7.8,,ekblaaa01,17-18
D,0,0.0,0.13,0.13,0.03,0.25,0,1,1,0,6,0,5,1,2,3.6,4.7,-1.0,0.0,0.3,0.3,,nessaa01,17-18
D,1,0.0,0.4,0.4,0.11,0.8,0,2,2,1,4,0,6,1,-1,3.7,4.6,-0.9,0.1,0.1,0.2,,clendad01,17-18
RW,0,0.0,0.0,0.0,0.0,1.2,0,0,0,0,0,0,2,1,-1,1.1,1.9,-0.8,-0.1,0.0,-0.1,,crackad01,17-18
LW,2,0.13,0.04,0.17,0.08,1.26,3,1,4,2,9,0,10,0,-1,8.9,7.5,1.5,0.1,0.1,0.2,,ernead01,17-18
C,0,0.0,0.0,0.0,0.0,1.8,0,0,0,0,2,0,0,0,2,2.8,2.7,0.2,-0.2,0.2,0.0,,gaudead01,17-18
C,20,0.3,0.32,0.62,0.25,1.86,25,26,51,21,86,30,58,14,11,41.1,48.3,-7.2,3.6,2.1,5.7,,henriad01,17-18
D,5,0.06,0.14,0.21,0.07,1.46,4,9,13,5,61,0,69,17,10,57.8,53.9,3.8,0.0,3.5,3.5,,larssad01,17-18
LW,8,0.18,0.29,0.47,0.17,1.56,8,13,21,8,30,4,27,10,9,22.9,13.9,9.1,1.1,1.0,2.1,,lowryad01,17-18
D,1,0.03,0.08,0.11,0.04,1.03,1,3,4,1,18,0,24,4,-1,18.0,19.7,-1.7,-0.2,1.2,1.0,,mcquaad01,17-18
D,6,0.04,0.21,0.24,0.08,1.36,3,16,19,6,67,3,88,31,7,56.3,59.4,-3.1,0.4,3.0,3.4,,pelecad01,17-18
LW,14,0.2,0.26,0.46,0.18,1.47,16,21,37,14,52,8,34,1,11,33.6,39.4,-5.8,2.4,1.8,4.2,0.0,kempead01,17-18
C,1,0.0,0.14,0.14,0.04,0.71,0,3,3,1,8,0,10,0,-2,8.6,12.2,-3.6,-0.4,0.1,-0.2,,quineal01,17-18
D,9,0.12,0.21,0.32,0.12,1.44,9,16,25,9,81,20,77,18,3,48.0,58.1,-10.1,1.3,4.6,5.9,,martial01,17-18
C,28,0.34,0.65,0.99,0.36,3.24,28,52,80,29,116,31,83,7,9,61.9,54.9,7.0,5.8,2.2,8.0,2.0,barkoal01,17-18
RW,0,0.0,0.0,0.0,0.0,0.71,0,0,0,0,1,1,2,1,-1,1.3,2.0,-0.7,-0.2,0.0,-0.1,,hemskal01,17-18
D,3,0.02,0.18,0.2,0.06,1.8,1,8,9,3,21,0,21,3,3,25.8,24.5,1.2,0.2,1.8,2.0,,biegaal01,17-18
C,0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,1.0,0.3,0.7,-0.1,0.0,0.0,,broadal01,17-18
RW,7,0.15,0.15,0.3,0.12,0.97,9,9,18,7,31,1,45,16,1,17.9,25.2,-7.3,0.8,0.8,1.6,,chiasal01,17-18
RW,22,0.34,0.29,0.63,0.26,2.21,29,24,53,22,76,17,55,1,6,45.6,46.5,-0.9,4.9,1.6,6.5,1.0,debrial01,17-18
LW,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0.3,-0.2,0.0,0.0,0.0,,formeal01,17-18
C,19,0.23,0.39,0.62,0.24,2.6,20,32,52,20,67,36,61,0,-31,40.4,43.7,-3.3,3.7,0.5,4.2,2.0,galchal01,17-18
D,13,0.15,0.29,0.45,0.16,1.53,12,23,35,13,66,14,100,16,-31,53.9,64.3,-10.4,2.6,2.2,4.8,0.0,goligal01,17-18
C,9,0.12,0.21,0.33,0.12,1.72,9,16,25,9,53,6,42,4,10,39.0,38.2,0.8,0.3,1.8,2.1,,iafalal01,17-18
