ShiftLength,CorsiForRelES,GFPer60,GAPer60,ATOIPP,PPCorsiPercRel,PPGFPer60,PPGAPer60,ATOISH,CorsiForRelSH,SHFPPer60,SHGAPer60,UID,season
0:56,4.9,3.7,3.1,1:26,-1.8,6.8,1.2,2:01,8.1,0.8,9.6,ekblaaa01,19-20
0:31,0.3,2.7,2.7,0:02,,0.0,0.0,0:10,25.3,0.0,0.0,nessaa01,19-20
0:31,0.5,3.1,3.4,2:10,0.5,4.4,0.6,0:01,13.6,0.0,0.0,boqviad01,19-20
0:35,-6.6,3.5,2.3,0:06,,0.0,0.0,0:16,-11.6,0.0,0.0,brookad01,19-20
0:33,-1.9,1.1,3.1,0:52,-15.6,0.0,1.2,0:02,-13.1,0.0,0.0,ernead01,19-20
0:57,7.5,3.6,2.4,1:58,-0.7,7.3,0.4,0:07,7.0,0.0,5.2,foxad01,19-20
0:25,-1.9,2.9,3.4,1:30,-4.4,10.4,0.0,0:00,12.0,0.0,70.6,gaudead01,19-20
0:39,5.5,3.1,3.2,2:19,1.8,4.4,0.3,0:33,2.6,0.0,3.5,henriad01,19-20
0:18,-3.9,3.9,3.9,0:00,,0.0,0.0,0:01,-23.3,0.0,0.0,johnsad01,19-20
1:06,0.0,2.5,2.5,0:01,13.7,16.9,0.0,1:36,4.5,1.3,2.6,larssad01,19-20
0:43,-3.3,1.6,2.1,0:14,-14.5,0.0,0.0,2:13,-0.8,1.1,7.2,lowryad01,19-20
0:38,-3.5,2.4,2.7,0:03,-8.8,0.0,0.0,2:46,8.3,1.7,4.5,pelecad01,19-20
0:32,2.7,1.7,2.7,2:29,8.5,6.2,0.0,0:54,8.8,3.8,4.7,kempead01,19-20
0:38,1.8,0.7,1.4,0:01,,0.0,0.0,0:00,,,,quineal01,19-20
0:39,-4.4,2.7,3.8,1:21,-4.0,5.9,0.0,1:42,4.9,1.6,9.6,martial01,19-20
0:44,3.6,3.6,3.3,3:23,0.8,9.2,0.8,1:06,5.9,1.3,3.4,barkoal01,19-20
0:46,-0.1,2.4,1.8,0:18,15.7,39.8,0.0,0:00,,0.0,0.0,saareal01,19-20
0:41,-0.7,1.4,2.2,0:01,,0.0,0.0,1:42,10.9,0.6,6.3,biegaal01,19-20
0:47,2.8,1.9,1.5,2:12,1.1,13.4,2.1,0:00,14.8,0.0,8.5,chiasal01,19-20
0:59,1.3,2.6,2.8,3:28,7.3,6.5,1.4,0:00,88.9,0.0,0.0,debrial01,19-20
0:36,1.1,3.0,2.0,1:39,-6.4,2.0,2.0,0:00,,0.0,0.0,galchal01,19-20
0:45,0.1,2.7,2.5,1:55,4.8,7.3,0.4,2:21,-0.8,0.7,8.4,goligal01,19-20
0:42,-1.8,2.9,2.7,2:28,11.1,6.5,0.3,1:26,-6.4,0.0,8.2,iafalal01,19-20
0:44,0.7,3.7,2.2,2:35,4.9,8.2,1.6,2:12,-2.7,0.0,8.8,killoal01,19-20
0:57,1.5,3.8,3.9,4:53,5.9,6.8,1.6,0:01,26.3,0.0,0.0,ovechal01,19-20
0:39,3.9,3.5,3.0,3:05,3.8,9.1,1.0,1:50,6.8,0.9,6.7,pietral01,19-20
0:43,-3.0,2.0,3.0,1:46,1.0,7.2,0.8,0:06,18.6,0.0,10.4,tuchal01,19-20
0:39,0.5,3.4,2.9,1:11,-2.3,9.9,1.6,3:04,-3.5,1.0,7.9,edleral01,19-20
0:48,1.8,3.2,3.5,1:15,-1.3,4.5,1.3,0:16,-6.7,0.0,3.4,kerfoal01,19-20
0:54,0.9,2.6,2.9,1:09,-4.9,1.6,0.8,0:00,-11.3,0.0,0.0,nylanal01,19-20
0:35,4.0,2.6,1.7,2:31,-6.7,7.9,0.4,0:00,-11.4,0.0,0.0,radulal01,19-20
0:32,-3.2,3.2,2.5,0:15,9.4,6.8,0.0,2:19,-6.3,0.0,8.6,steenal01,19-20
0:37,3.7,3.2,2.6,0:15,-2.0,0.0,0.0,0:05,-17.9,0.0,0.0,trueal01,19-20
0:37,-3.5,0.6,4.5,0:00,,,,0:00,,,,volkoal01,19-20
0:48,1.7,2.0,2.4,2:04,5.6,6.1,0.9,1:29,-3.5,0.7,9.9,wennbal01,19-20
0:36,-4.6,2.8,4.2,0:00,,0.0,0.0,0:00,,0.0,0.0,yelesal01,19-20
0:48,18.6,3.7,0.0,0:00,,0.0,0.0,0:00,,,,carrial01,19-20
0:51,1.0,2.7,2.1,0:33,-1.3,2.1,2.1,0:02,,0.0,0.0,texieal01,19-20
0:31,-1.7,2.1,1.8,0:20,9.8,3.0,0.0,0:30,-0.6,0.0,2.0,bjorkan01,19-20
0:47,6.9,3.5,2.7,2:17,4.8,4.4,1.1,0:00,-10.8,0.0,0.0,leean01,19-20
1:04,2.3,3.9,2.6,2:23,1.4,5.5,0.8,0:00,-11.1,0.0,4.7,burakan01,19-20
0:59,-0.3,1.9,5.7,2:01,-4.8,6.7,3.4,0:01,-13.7,0.0,37.1,athanan01,19-20
0:44,-1.9,1.0,3.4,0:01,10.7,0.0,0.0,1:05,0.6,1.9,11.6,engluan01,19-20
