Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season
Vitaly Abramov,22,OTT,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,19,9:43,0,0,0,0,,abramvi01,20-21
Noel Acciari,29,FLA,C,41,4,7,11,0,9,0.4,3,1,0,1,4,2,1,68,5.9,631,15:24,63,91,272,247,52.4,acciano01,20-21
Calen Addison,20,MIN,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,56,18:31,1,2,0,0,,addisca01,20-21
Kenny Agostino,28,TOR,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,4,4:08,0,0,0,0,,agostke01,20-21
Andrew Agozzino,30,ANA,LW,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,3,0.0,37,12:11,7,6,16,16,50.0,agozzan01,20-21
Jack Ahcan,23,BOS,D,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,5,0.0,62,20:38,5,2,0,0,,ahcanja01,20-21
Sebastian Aho,23,CAR,F,56,24,33,57,16,32,7.2,14,7,3,7,22,11,0,148,16.2,1090,19:28,25,38,365,327,52.7,ahose01,20-21
Sebastian Aho,24,NYI,D,3,1,1,2,-1,2,0.3,1,0,0,0,1,0,0,4,25.0,40,13:21,2,1,0,0,,ahose02,20-21
Frédéric Allard,23,NSH,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,17,16:59,1,0,0,0,,allarfr01,20-21
Wade Allison,23,PHI,RW,14,4,3,7,1,4,0.8,3,1,0,1,3,0,0,24,16.7,181,12:56,10,28,0,1,0.0,alliswa01,20-21
Olle Alsing,24,OTT,D,4,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,43,10:50,2,4,0,0,,alsinol01,20-21
Mark Alt,29,LAK,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,27,13:35,1,2,0,0,,altma01,20-21
Michael Amadio,24,TOT,C,25,0,3,3,-3,4,-0.2,0,0,0,0,2,1,0,24,0.0,314,12:33,16,8,94,94,50.0,amadimi01,20-21
Joey Anderson,22,TOR,RW,1,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,,10,9:36,3,0,0,1,0.0,anderjo08,20-21
Josh Anderson,26,MTL,RW,52,17,7,24,-10,38,2.5,15,1,1,5,6,1,0,125,13.6,854,16:25,25,139,7,5,58.3,anderjo05,20-21
Michael Anderson,21,LAK,D,54,1,10,11,0,30,2.9,1,0,0,1,8,0,2,52,1.9,1144,21:11,74,66,0,0,,andermi02,20-21
Jaret Anderson-Dolan,21,LAK,C,34,7,4,11,-9,6,0.9,6,1,0,2,4,0,0,37,18.9,459,13:31,20,52,132,170,43.7,anderja01,20-21
Lias Andersson,22,LAK,C,23,3,3,6,-4,12,0.4,3,0,0,0,3,0,0,23,13.0,278,12:04,9,8,20,32,38.5,anderli01,20-21
Rasmus Andersson,24,CGY,D,56,5,16,21,-9,34,3.2,4,1,0,0,11,5,0,96,5.2,1189,21:13,68,49,0,0,,anderra01,20-21
Andy Andreoff,29,PHI,LW,6,0,0,0,-6,9,-0.3,0,0,0,0,0,0,0,2,0.0,52,8:37,1,14,15,9,62.5,andrean01,20-21
Anthony Angello,24,PIT,C,19,2,2,4,4,8,0.5,1,1,0,0,2,0,0,19,10.5,152,7:59,2,51,0,0,,angelan01,20-21
Artem Anisimov,32,OTT,C,19,2,7,9,1,2,0.8,1,1,0,0,7,0,0,30,6.7,228,12:02,9,9,36,52,40.9,anisiar01,20-21
Mason Appleton,25,WPG,C,56,12,13,25,11,14,2.9,12,0,0,1,12,0,1,88,13.6,807,14:25,22,61,7,6,53.8,applema01,20-21
Josh Archibald,28,EDM,RW,52,7,6,13,2,37,1.0,7,0,0,0,6,0,0,62,11.3,704,13:33,35,192,4,4,50.0,archijo01,20-21
Joel Armia,27,MTL,RW,41,7,7,14,10,10,1.6,5,1,1,0,6,0,1,73,9.6,603,14:42,13,86,6,16,27.3,armiajo01,20-21
Viktor Arvidsson,27,NSH,LW,50,10,15,25,9,21,2.7,8,2,0,2,14,1,0,151,6.6,830,16:36,33,15,9,18,33.3,arvidvi01,20-21
Rasmus Asplund,23,BUF,F,28,7,4,11,1,0,1.4,7,0,0,2,4,0,0,34,20.6,360,12:51,3,15,6,11,35.3,asplura01,20-21
Zach Aston-Reese,26,PIT,C,45,9,6,15,10,15,1.6,8,0,1,0,6,0,0,79,11.4,658,14:37,24,95,7,11,38.9,astonza01,20-21
Andreas Athanasiou,26,LAK,C,47,10,13,23,-6,27,2.3,10,0,0,1,12,1,0,85,11.8,703,14:57,16,11,4,0,100.0,athanan01,20-21
Cam Atkinson,31,CBJ,RW,56,15,19,34,-16,4,2.7,10,1,4,2,11,8,0,158,9.5,1060,18:56,30,22,7,23,23.3,atkinca01,20-21
Nicolas Aubé-Kubel,24,PHI,RW,50,3,9,12,-3,44,0.4,3,0,0,0,9,0,0,53,5.7,559,11:10,16,120,2,2,50.0,aubekni01,20-21
David Backes,36,ANA,C,15,3,1,4,-4,4,0.3,3,0,0,1,1,0,0,30,10.0,191,12:44,16,31,81,79,50.6,backeda01,20-21
Mikael Backlund,31,CGY,C,54,9,23,32,-7,30,2.4,8,0,1,1,16,6,1,144,6.3,950,17:36,21,43,387,358,51.9,backlmi01,20-21
