"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"424","Hayden Hodgson","PHI","R","1","4.6333333333333","4.6333333333333","-43.03","63.48","-36.22","-34.81","12.13","-39.48","-25.74","14.42","-40.66","-4.31","-1.51","-","-1.87","-1.18","-38.04","-19.19","26.04","-32.20","-5.6","-1.16","-27.23","-1.38","0","-","-18.42","35.53","-35.46","-3.8","-2.01","-65.45","-3.29","42.19","-10.18","0","0","-","-","100.00","1.00","25.9","25.9","12.95","51.8","66.67","25.9","25.9","25.9","50.00"
"689","Nick Swaney","MIN","R","1","9.2166666666667","9.2166666666667","-50.39","59.88","-46.63","-40.54","46.97","-52.24","-23.29","45.43","-50.13","-4.26","-2.65","-","-2.57","3.76","-51.10","-25.27","32.95","-41.36","-14.59","30.18","-64.72","-2.83","-1.32","-","-14.3","3.4","-22.55","0","-1.77","0.00","-32.65","39.37","-53.64","-1.9","0","-93.82","0.00","100.00","1.000","6.51","6.51","0","58.59","100.00","6.51","6.51","0","100.00"
"934","Owen Beck","MTL","C","1","9.65","9.65","-32.13","57.81","-30.68","-27.12","56.18","-34.22","-23","26.14","-37.40","0","3.04","0.00","-2.93","2.88","-46.79","-11.31","20.27","-22.34","-16.77","10.27","-53.09","0","4.51","0.00","6.46","13.55","-3.66","0","-2.06","0.00","-27.59","30.07","-37.23","0","0","-","0.00","89.64","0.896","0","12.44","12.44","49.74","0.00","6.22","12.44","31.09","16.67"
"936","Marco Kasper","DET","C","1","14.816666666667","14.816666666667","-18.4","57.65","-29.12","-9.11","51.46","-29.26","-11.82","36.57","-32.06","-7.28","0","-","-0.16","4.82","-31.18","-19.16","29.53","-33.83","-3.6","26.21","-44.24","-1.85","0","-","-21.03","3.85","-28.14","-7.16","0","-100.00","4.14","36.27","-15.32","0","0","-","0.00","100.00","1.000","12.15","24.3","8.1","36.45","60.00","16.2","32.4","20.25","44.44"
"663","Lias Andersson","L.A","C","1","8.6166666666667","8.6166666666667","-4.88","53.14","-15.71","-7","45.22","-20.49","-6.18","14.69","-13.53","0","7.36","-","-0.37","4.51","-21.38","-6.27","19.15","-16.32","-0.57","17.9","-18.05","0","7.37","-","-7.98","1.9","-11.08","0","0","-","2.29","72.62","-17.68","0","0","-","0.00","85.83","0.858","6.96","13.93","6.96","55.71","50.00","6.96","20.89","34.82","16.67"
"763","Damien Giroux","MIN","C","1","12.866666666667","12.866666666667","-26.48","53.12","-30.82","-15.54","33.7","-27.91","-3.13","36.78","-28.11","1.61","2.95","-16.46","0.48","2.27","-13.57","-17.74","23.69","-30.21","-3.52","18.62","-34.18","3.16","-1.44","48.24","-18.83","6.66","-31.11","0","5.89","0.00","-8.2","43.77","-30.95","-2.08","0","-93.82","20.43","92.20","1.126","0","4.66","0","69.95","-","4.66","18.65","0","100.00"
"888","Justin Richards","CBJ","C","2","18.3","9.15","-6.22","49.76","-13.01","-1.36","31.73","-9.25","0.9","31.92","-11.25","2.42","1.75","19.21","-0.32","4.2","-16.60","1.64","25.46","-8.03","-4.81","20.34","-28.41","0","3.34","0.00","8.58","7.24","7.75","4.14","-2.02","94.80","-10.89","39.52","-20.69","-0.93","0","-88.92","17.59","89.48","1.071","9.84","16.39","13.11","45.9","42.86","9.84","19.67","19.67","33.33"
"820","Connor McMichael","WSH","C","6","52.566666666667","8.7611111111111","-23.43","49.7","-28.99","-20.47","38.23","-31.04","-11.87","29.02","-28.84","0.58","-0.51","12.36","-1.55","2.62","-38.03","-11.15","24.72","-30.01","-3.84","7.35","-23.55","0.28","0.85","-4.50","-9.91","23.49","-34.86","0.37","-1.09","48.50","-18.03","36.89","-32.18","0","-0.81","0.00","10.61","95.89","1.065","12.56","10.27","5.71","55.93","68.75","15.98","13.7","13.7","53.85"
"600","Jeremy Davies","BUF","D","1","8.4666666666667","8.4666666666667","3.11","46.65","-19.02","-9.28","36.68","-27.53","-1.74","38.94","-30.50","-1.84","-1.72","-","-0.88","3.47","-35.71","-1.24","13.06","-10.71","1.54","16.26","-14.82","0","-1.72","-","-3.67","-4.54","2.45","-2.57","0","-100.00","-14.51","41.03","-49.12","0","0","-","0.00","100.00","1.000","7.09","14.17","0","70.87","100.00","21.26","14.17","0","100.00"
"195","Andy Andreoff","NYI","C","3","20.383333333333","6.7944444444444","-27.04","44.32","-24.40","-27.81","34.75","-29.57","-17.56","26.85","-27.57","-0.67","9.74","-41.11","-1.16","4.44","-26.82","-3.52","42.17","-23.80","-10.24","20.51","-40.08","0.33","4.35","-26.19","8.5","29.96","-11.70","-0.65","7.29","-52.90","-32.05","-2.47","-38.33","-0.63","0","-93.82","21.59","81.45","1.030","2.94","11.77","0","76.53","100.00","5.89","20.61","8.83","40.00"
