"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"733","Arthur Kaliyev","L.A","R","56","0.1","0.0017857142857143","-12.06","494","-10.21","-11.43","-74.83","-","-9.98","-54.87","-","-0.62","-9.35","-","-0.61","-7.26","-","-5.82","-58.2","-","-2.49","-20.79","-","-0.42","-4.78","-","-4.43","-49.88","-","-0.28","-3.33","-7.69","-3.6","763.09","-3.36","0","-2.7","0.00","-","-","-","0","0","0","600","-","0","0","0","-"
"315","Dillon Heatherington","OTT","D","3","0.16666666666667","0.055555555555556","-21.95","222.8","-13.79","-21.95","250.24","-16.67","-21.95","283.17","-22.22","0","-5.49","-","-1.15","-5.82","-8.52","-16.46","-93.29","-","0","-21.95","-","0","0","-","-21.95","-95.12","-","0","-7.32","0.00","0","464.51","0.00","0","0","-","-","100.00","1.00","0","0","360","0","0.00","0","0","360","0.00"
"826","Ben Meyers","COL","C","39","0.45","0.011538461538462","-11.43","176.94","-11.30","-10.39","62.66","-12.82","-9.35","83.44","-15.79","-0.69","-8.31","-","-0.8","10.75","-9.35","-6.93","81.71","-11.83","-2.43","102.85","-7.37","-0.35","-5.54","-","-6.01","-28.18","-","0","-1.39","0.00","-2","139.05","-3.60","0","-2.5","0.00","-","100.00","1.00","0","133.33","0","133.33","-","0","133.33","0","-"
"643","Kiefer Sherwood","NSH","L","32","1.4666666666667","0.045833333333333","-14.58","149.35","-13.17","-12.92","51.14","-15.29","-9.61","73.02","-16.20","-1.33","-4.97","-","-0.77","1.51","-9.29","-6.96","100.34","-9.91","-2.98","-22.54","-","-0.66","-2.65","-","-5.3","163.83","-8.89","-0.88","-2.21","-28.57","-4.79","65.05","-8.26","0","-0.96","0.00","-","100.00","1.00","0","0","0","204.55","-","40.91","0","0","100.00"
"802","Matthew Kessel","STL","D","2","1.2166666666667","0.60833333333333","32.17","105.09","-3.57","32.17","6.46","21.43","40.74","-42.86","83.33","0","-8.57","-","2.13","2.08","11.83","40.74","-17.14","66.67","0","-8.57","-","0","-8.57","-","54.32","-11.43","50.00","0","0","-","0","105.32","0.00","0","0","-","0.00","-","0.00","0","0","0","98.63","-","49.32","0","49.32","50.00"
"679","Adam Ginning","PHI","D","1","0.26666666666667","0.26666666666667","0","105","0.00","0","105","0.00","0","145","0.00","0","225","-","0","18.74","0.00","0","225","-","0","225","-","0","225","-","0","0","-","0","0","-","0","-173.33","-","0","0","-","-","0.00","0.00","0","0","0","0","-","0","0","0","-"
"90","Tyler Johnson","CHI","C","56","2.45","0.04375","-14.19","98.08","-12.66","-12.23","98.05","-14.29","-10.27","67.9","-15.85","-1.71","41.64","-18.92","-0.75","9.32","-8.95","-5.87","116.15","-9.60","-2.45","49.01","-9.09","-0.73","20.09","-14.29","-4.57","89.52","-10.00","-0.65","30.04","-20.00","-5.3","-23.63","-8.24","-0.71","-1.41","-33.33","-","60.00","0.60","0","48.98","48.98","171.43","0.00","0","48.98","48.98","0.00"
"793","Justin Richards","CBJ","C","2","2.3166666666667","1.1583333333333","35.36","81.42","6.82","43.58","55.52","18.57","17.68","11.94","13.89","0","25.9","-","2.47","4.54","16.54","17.68","80.18","2.38","0","35.36","0.00","0","25.9","-","23.57","59.76","5.00","0","0","-","37.41","1.79","50.00","0","0","-","0.00","66.67","0.667","0","0","25.9","77.7","0.00","0","0","25.9","0.00"
"717","Ronnie Attard","PHI","D","2","1.35","0.675","24.44","77.78","3.33","24.44","53.33","5.00","-20","48.89","-33.33","0","34.44","0.00","3.06","14.97","-0.33","24.44","53.33","5.00","34.44","38.89","16.67","0","34.44","0.00","-13.33","19.26","-25.00","0","0","-","0","35.31","0.00","0","0","-","-","50.00","0.50","0","0","44.44","88.89","0.00","0","0","44.44","0.00"
"184","Joseph Cramarossa","MIN","C","4","0.35","0.0875","-7.58","71.01","-7.02","-7.58","-54.95","-","-7.58","-39.79","-","-1.89","0","-","-0.58","-4.65","-","-3.79","116.48","-6.45","-3.79","-18.95","-","-1.89","0","-","0","180.57","0.00","0","0","-","0","-87.58","-","0","0","-","-","-","-","0","171.43","0","0","-","0","171.43","0","-"
