"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"275","Buddy Robinson","CHI","R","9","0.083333333333333","0.0092592592592593","-83.05","1420.23","-80.77","-58","1420.23","-74.58","-44.82","1424.18","-73.91","-5.27","-1.32","-","-4.45","343.36","-76.40","-39.55","1428.14","-76.92","-13.18","1436.05","-76.92","-1.32","-1.32","-","-35.15","-10.55","-","-1.76","0","-100.00","-60.93","-3.81","-","-3.81","0","-100.00","-","100.00","1.00","0","0","0","720","-","0","0","0","-"
"738","Nikita Okhotiuk","N.J","D","10","0.16666666666667","0.016666666666667","-133.1","337.55","-85.57","-104.23","339.15","-83.33","-73.76","-14.43","-","-8.02","-3.21","-","-12.7","26.12","-87.58","-97.82","347.17","-88.41","-32.07","-9.62","-","-1.6","-3.21","-","-87.66","475.72","-95.35","-6.41","0","-100.00","-90.33","506.1","-86.67","-2.32","0","-100.00","-","-","-","0","0","720","0","0.00","0","0","720","0.00"
"839","Luke Hughes","N.J","D","2","0.18333333333333","0.091666666666667","-62.25","296.15","-66.67","-51.87","306.52","-71.43","-41.5","306.52","-66.67","-10.37","0","-","-5.26","6.05","-76.70","-51.87","-10.37","-","-20.75","0","-","-10.37","0","-","-41.5","-13.83","-","0","0","-","-44.96","-29.97","-","0","0","-","-","100.00","1.00","0","327.27","0","0","-","0","327.27","0","-"
"700","Semyon Der-Arguchintsev","TOR","C","1","0.9","0.9","-174.19","200","-100.00","-174.19","200","-100.00","-135.48","133.33","-100.00","0","0","-","-23.81","25.03","-100.00","-135.48","200","-100.00","-96.77","133.33","-100.00","0","0","-","-51.61","88.89","-100.00","0","0","-","-55.91","0","-","0","0","-","-","100.00","1.00","0","0","0","66.67","-","0","0","66.67","0.00"
"775","Aidan McDonough","VAN","L","6","0.78333333333333","0.13055555555556","-96.78","137.33","-85.92","-71.4","137.33","-81.82","-44.42","137.33","-73.68","-9.52","-3.17","-","-7.82","2.78","-93.27","-55.53","-6.35","-","-26.97","0","-","-6.35","0","-","-38.08","-8.46","-","0","-2.12","0.00","-64.17","216.69","-93.33","-4.58","-2.29","-66.67","-","100.00","1.00","0","153.19","0","76.6","-","0","153.19","0","-"
"52","Brendan Smith","N.J","D","60","2","0.033333333333333","-111.16","103.46","-87.05","-85.44","105.3","-85.32","-63.85","109.66","-86.07","-8.73","-1.61","-","-9.26","10.91","-89.17","-67.99","51.5","-88.89","-26.41","56.78","-89.15","-3.22","-0.92","-","-55.43","-7.04","-","-3.67","-0.61","-85.71","-99.2","122.37","-92.86","-3.98","0","-100.00","-","100.00","1.00","0","30","60","120","0.00","0","30","90","0.00"
"373","Nicolas Aube-Kubel","TOR, WSH","R","53","1.05","0.019811320754717","-92.67","101.15","-87.58","-67.33","45.88","-85.67","-49.03","47.29","-83.27","-7.74","-0.94","-","-7.51","-0.71","-90.77","-56.3","-4.69","-","-24.4","-1.41","-","-4.22","-0.47","-","-42.54","-4.38","-","-3.75","-0.31","-92.31","-53.88","-6.1","-","-1.02","0","-100.00","-","100.00","1.00","57.14","114.29","114.29","400","33.33","57.14","114.29","171.43","25.00"
"55","Robert Bortuzzo","STL","D","43","0.55","0.012790697674419","-81.58","96.83","-86.93","-61.9","98.25","-85.10","-40.79","100.25","-82.18","-6.85","-1.43","-","-5.39","-0.19","-87.06","-46.78","-5.7","-","-14.55","-3.14","-","-1.71","-0.86","-","-42.98","-3.42","-","-3.8","-0.76","-83.33","-51.5","-4.12","-","-3.3","0","-100.00","-","100.00","1.00","0","0","0","218.18","-","0","0","0","-"
"445","Guillaume Brisebois","VAN","D","17","1.1166666666667","0.065686274509804","-50.66","94.41","-55.56","-76.76","95.18","-86.21","-51.43","44.52","-84.81","-11.51","-1.54","-","-8.75","3.08","-93.64","-63.71","49.89","-94.32","-26.87","-3.07","-","-3.84","-1.54","-","-49.13","70.62","-97.96","-7.16","0","-100.00","17.74","-5.54","8.47","-3.33","0","-100.00","-","100.00","1.00","107.46","161.19","53.73","53.73","66.67","107.46","161.19","53.73","66.67"
"309","Laurent Dauphin","ARI","C","21","0.56666666666667","0.026984126984127","-73.79","89.34","-81.69","-55.35","-14.63","-","-42.62","-12.09","-","-7","-1.91","-","-5.47","-1.1","-","-41.35","-10.18","-","-17.81","-5.09","-","-3.82","-1.27","-","-31.38","-6.79","-","-4.24","-0.85","-83.33","-50.54","148.35","-91.67","0","0","-","-","-","-","0","0","0","529.41","-","0","0","0","-"
"849","Nick Cicek","S.J","D","16","0.6","0.0375","-113.97","87.45","-90.08","-90.97","89.54","-89.69","-69.01","93.73","-91.67","-7.32","-1.05","-","-9.33","-0.84","-91.58","-65.87","-5.23","-","-25.09","-3.14","-","-2.09","0","-","-54.37","-2.79","-","-4.18","-1.39","-75.00","-92.13","-6.04","-","-3.02","0","-100.00","-","100.00","1.00","0","0","0","300","-","0","0","0","-"
"257","Brock McGinn","ANA, PIT","L","75","1.1666666666667","0.015555555555556","2.25","85.83","-35.52","-24.1","86.62","-48.97","-2.34","89.14","-46.34","-7.57","-1.1","-","-1.71","6.13","-38.37","-12.75","40.71","-35.68","21.47","45.44","-33.33","-4.73","-0.79","-","-45.62","-6.31","-","-1.68","-0.42","-80.00","92.77","71.55","-28.66","-2.28","0","-100.00","0.00","100.00","1.000","205.71","0","0","360","100.00","257.14","102.86","51.43","83.33"
"310","Robert Hagg","DET","D","38","1.2333333333333","0.032456140350877","-89.21","80.29","-83.99","-67.73","82.98","-82.55","-48.04","86.56","-81.73","-8.06","-1.79","-","-6.48","2.46","-89.15","-51.32","40.29","-86.00","-17.9","45.07","-83.33","-4.18","-0.6","-","-44.55","-6.36","-","-2.39","-1.19","-66.67","-56.46","-7.76","-","-3.02","-0.43","-87.50","-","100.00","1.00","48.65","0","0","340.54","100.00","48.65","0","0","100.00"
"272","Liam O'Brien","ARI","C","56","2.0166666666667","0.036011904761905","-77.58","74.42","-83.94","-57.45","47","-82.12","-41.97","48.91","-79.84","-6.57","-0.85","-","-5.46","1.96","-85.94","-42.4","22.76","-85.84","-16.53","-4.03","-","-2.76","-0.42","-","-34.48","35.71","-89.71","-3.11","-0.57","-84.62","-53.89","80.13","-90.26","-2.14","0","-100.00","-","100.00","1.00","89.26","29.75","29.75","178.51","75.00","89.26","29.75","59.5","60.00"
"537","Michael McLeod","N.J","C","80","5.7666666666667","0.072083333333333","-56.15","67.81","-49.06","-38.82","48.91","-45.61","-17.49","31.91","-35.89","-8.32","-1.39","-","-3.3","2.07","-25.98","-33.97","13.36","-29.74","-15.42","7.28","-39.22","-2.95","-0.87","-","-24.72","8.09","-23.41","-3","-0.46","-86.67","6.8","98.19","-43.35","-4.51","0","-100.00","0.00","100.00","1.000","124.86","62.43","41.62","114.45","75.00","124.86","62.43","52.02","70.59"
"605","Aleksi Heponiemi","FLA","C","10","0.76666666666667","0.076666666666667","-13.05","64.9","-37.23","3.66","66.01","-35.90","24.81","69.35","-35.71","-10.02","-2.23","-","-2.09","4.31","-37.12","30.38","72.69","-39.58","-22.27","-4.45","-","-5.57","-2.23","-","70.2","102.86","-45.83","-2.97","0","-100.00","-61.12","-4.83","-","-3.22","0","-100.00","0.00","100.00","1.000","78.26","0","0","78.26","100.00","234.78","0","0","100.00"
"488","Kyle Criscuolo","S.J","C","1","0.85","0.85","-99.51","58.88","-89.47","-87.8","64.73","-93.75","-70.24","70.59","-100.00","-17.56","0","-","-12.08","1.26","-95.23","-76.1","0","-","-23.41","0","-","0","0","-","-70.24","0","-","-15.61","0","-100.00","-109.92","76.59","-81.25","-8.46","0","-100.00","-","100.00","1.00","0","0","0","70.59","-","0","0","0","-"
"714","John Leonard","NSH","L","6","2","0.33333333333333","-6.49","54.94","-29.49","-66.13","54.94","-61.67","-60.72","54.94","-92.31","-10.12","0","-","-7.91","0.27","-27.10","-13.37","-5.06","6.45","-30.36","-2.53","-","-5.06","0","-","22.66","-3.37","5.56","-6.75","0","-100.00","13.58","43.33","-33.33","0","0","-","-","100.00","1.00","30","0","0","30","100.00","60","0","0","100.00"
"274","Jayson Megna","ANA, COL","C","55","0.88333333333333","0.016060606060606","-39.5","54.55","-38.93","-13.61","56.06","-37.30","11.19","57.79","-34.84","-7.77","-0.65","-","-3.51","1.91","-28.97","-57.59","-7.55","-","-23.08","-3.45","-","-3.24","-0.43","-","-46.02","-5.46","-","-3.16","-0.29","-91.67","26.45","95.31","-46.23","-3.12","0","-100.00","0.00","100.00","1.000","67.92","0","67.92","203.77","50.00","135.85","0","135.85","50.00"
"301","Ryan Graves","N.J","D","78","4.3333333333333","0.055555555555556","-38.08","52.79","-36.71","-38.37","41.24","-42.11","-45.56","17.26","-51.73","-8.13","-1.41","-","-4.45","1.25","-24.47","-8.79","6.24","-9.41","1.7","-3.18","10.91","-3.01","-0.88","-","-13.99","12.57","-22.96","-2.83","-0.47","-85.71","-38.57","71.57","-49.27","-4.34","0","-100.00","0.00","100.00","1.000","41.54","55.38","27.69","304.62","60.00","41.54","55.38","27.69","60.00"
"391","Dysin Mayo","ARI","D","15","0.96666666666667","0.064444444444444","-83.12","49.6","-86.96","-63.04","51.68","-85.85","-47.8","52.37","-83.13","-10.39","0","-","-6.19","4.81","-90.81","-45.72","-4.85","-","-19.4","-2.77","-","-5.54","0","-","-35.1","-2.77","-","-4.62","0","-100.00","-55.03","83.65","-90.16","-2","0","-100.00","-","100.00","1.00","0","0","0","186.21","-","0","0","0","-"
"577","Cale Fleury","SEA","D","12","0.96666666666667","0.080555555555556","-92.98","48.51","-87.27","-66.83","50.45","-85.19","-37.77","53.35","-81.25","-3.87","-1.94","-","-5.81","8.19","-86.44","-41.65","53.35","-82.69","-20.34","57.23","-80.77","-0.97","-1.94","-","-28.41","-5.17","-","-3.87","0","-100.00","-83.94","-2.8","-","0","0","-","-","100.00","1.00","62.07","0","0","186.21","100.00","62.07","0","0","100.00"
"759","Sam Poulin","PIT","R","3","3.55","1.1833333333333","-38.87","47.26","-46.30","-41.99","47.26","-55.65","-28.21","47.26","-54.74","13.46","0","0.00","-2.79","2.27","-24.23","-25.09","13.46","-20.65","-31.33","-3.44","6.67","13.46","0","0.00","8.32","22.54","-33.33","0","0","-","-19.9","48.83","-100.00","0","0","-","50.00","100.00","1.500","0","0","0","101.41","-","0","0","16.9","0.00"
"556","Dylan Gambrell","OTT","C","60","0.98333333333333","0.016388888888889","-108.6","44.52","-86.81","-83.77","47.3","-85.93","-60.75","49.91","-84.55","-8.49","59.71","-86.67","-9.73","4.26","-88.47","-68.42","50.89","-87.11","-31.19","56.12","-86.43","-5.06","60.36","-88.57","-49.64","-6.97","-","-3.05","-0.87","-77.78","-60.39","-2.83","-","-1.65","0","-100.00","-","0.00","0.00","0","61.02","61.02","427.12","0.00","0","122.03","61.02","0.00"
"139","Patrik Nemeth","ARI","D","75","1.0333333333333","0.013777777777778","35.71","43.2","-17.73","55.31","46.07","-16.86","71.87","48.1","-14.95","51.64","-0.84","11.63","-0.49","6.2","-43.57","11.44","50.29","-35.71","-18.08","54.18","-82.31","-2.87","-0.51","-","39.35","-5.18","11.98","74.27","-0.45","12.50","31.16","-5.37","9.24","-1.71","0","-100.00","50.00","100.00","1.500","116.13","58.06","0","348.39","100.00","116.13","58.06","0","100.00"
"400","Jake Evans","MTL","C","54","5.4166666666667","0.10030864197531","-34.88","43.07","-42.09","-36.79","32.21","-49.64","-20.96","22.67","-40.33","5.8","-0.22","4.00","-3.23","0.73","-23.57","-9.88","15.34","-26.34","-5.42","-4.4","21.05","9.76","-0.22","14.29","-5.95","26.31","-41.67","-3.52","0","-100.00","-23.28","29.14","-45.08","-1.91","0","-100.00","50.00","100.00","1.500","66.46","44.31","11.08","144","85.71","88.62","44.31","11.08","88.89"
"787","Braden Schneider","NYR","D","81","4.5","0.055555555555556","-52.06","40.41","-34.63","-28.04","29.21","-27.27","-11.12","31.18","-30.82","-8.82","-0.76","-","1.97","-0.32","3.61","-30.99","7.56","-17.48","9.14","-2.89","8.56","-3.65","-0.46","-","-53.51","13.93","-93.29","-4.05","-0.2","-95.24","-31.75","13.33","-25.55","-2.85","0","-100.00","0.00","100.00","1.000","13.33","53.33","0","80","100.00","53.33","53.33","0","100.00"
"712","Yegor Sharangovich","N.J","C","75","7.4333333333333","0.099111111111111","-27","40.36","-28.15","-8.43","33.98","-24.87","5.46","21.97","-18.47","-8.44","-1.13","-","-2.33","1.14","-14.66","-25.32","0.38","-6.18","-8.82","5.26","-23.20","-3","-0.56","-","-22.01","-6.51","10.70","-3.25","-0.5","-86.67","20.36","38.5","-20.78","-4.34","0","-100.00","0.00","100.00","1.000","64.57","40.36","16.14","80.72","80.00","64.57","40.36","24.22","72.73"
"89","Jordie Benn","TOR","D","12","1.0666666666667","0.088888888888889","19.55","40.04","-18.48","42.25","44.36","-18.86","0.05","46.52","-35.25","-8.65","-1.08","-","-1.06","2.38","-22.69","-9.68","49.77","-41.04","-29.18","-3.24","-","-5.4","-1.08","-","26.01","70.68","-41.89","-2.88","0","-100.00","31.3","-9.37","15.79","-1.56","0","-100.00","0.00","100.00","1.000","0","112.5","56.25","112.5","0.00","56.25","112.5","56.25","50.00"
